,2023,2024,ratio_b_to_a
ndvi_peak,6.34593139642696,6.420898492551479,1.0118134110568433
temp_anomaly,4.634131622742588,6.041574158410695,1.3037122486467376
ndvi_at_cutoff,2.9945171890468116,2.311780434939506,0.7720043963666048
rolling_3yr_mean,2.571848807949045,4.733230594783303,1.8404000189100855
ndvi_auc,2.4930976705668253,5.6049291879561025,2.248178743306827
rain_days,1.410534035829344,0.4872746527764197,0.34545401982442736
rain_sum_mm,1.234339620953426,0.9284004313581435,0.7521434260054217
cumulative_gdd,1.0687889129314092,1.0415294633167074,0.974495010862401
et_rain_ratio,0.8903050396010245,0.331914747816533,0.37281014152775677
ndvi_anomaly,0.8701517998537242,1.1961749928609837,1.3746739282296092
yield_trend_5yr,0.6608522518012392,0.43368627472390314,0.6562530029092501
heat_rain_stress_idx,0.6412836742611353,0.417184172320416,0.6505454435606537
ndvi_slope,0.6393543438970413,0.9330226106638021,1.4593200461840483
water_balance_total_mm,0.5917313589846334,0.6199819235069923,1.047742212903563
yield_std_5yr,0.5636579913306967,0.6899773981851208,1.224106477327158
net_moisture_stress,0.33166983009736994,0.22497145832664936,0.6782994348946463
heat_days_gt32,0.1468752323281053,0.1307262040365057,0.8900493429993411
ndvi_drop_rate,0.055563069726554136,0.04430932997299314,0.7974600789887114
day_of_peak_ndvi,0.0,0.0,0.0
