,2023,2024,ratio_b_to_a
temp_anomaly,6.622296517454875,9.389216408077939,1.4178187858743698
county,3.3797467067597395,3.308183099345008,0.9788257483107834
rolling_3yr_mean,3.337852774526996,5.978679497005531,1.7911753156496735
ndvi_anomaly,3.3054120484167506,3.337857565563866,1.0098158767112428
rain_days,2.6419613491807006,1.899727761680622,0.7190596343393696
rain_sum_mm,1.9053106323075009,1.9123903768578354,1.0037157954352884
cumulative_gdd,1.8345991265977428,1.3407129121565762,0.7307933884406252
water_balance_total_mm,1.7113001960336265,0.9374481660827014,0.5477987837875996
ndvi_at_cutoff,1.255526822831138,1.3251664757852282,1.0554664796384492
et_rain_ratio,1.1982473728224867,0.9224112599403907,0.769800360811674
ndvi_auc,0.9590888597342543,1.247713851549339,1.3009366534557154
yield_std_5yr,0.7819908484695635,1.0795825623383966,1.3805565173189056
net_moisture_stress,0.7663943042338222,0.22463585851825357,0.29310742169832016
yield_trend_5yr,0.7561283872639314,0.7958431897109179,1.0525238876306384
ndvi_slope,0.5775904221292227,0.6516299943431481,1.1281869805613927
heat_rain_stress_idx,0.18089313851970482,0.39711224108431115,2.195286368150738
ndvi_peak,0.1330049463406066,0.12934087451245993,0.9724516122974591
heat_days_gt32,0.048851894819170044,0.0706289529304782,1.4457771431777215
day_of_peak_ndvi,0.0,0.0,0.0
ndvi_drop_rate,0.0,0.0,0.0
