feature,mean_abs_shap
rolling_3yr_mean,7.834736147173998
temp_anomaly,4.696148991623256
ndvi_anomaly,3.6659952863579983
rain_days,2.4864113928751084
ndvi_auc,2.1256179988178094
cumulative_gdd,1.861964045736001
ndvi_at_cutoff,1.7358278289625206
rain_sum_mm,1.425643910019013
yield_trend_5yr,1.2676795770740032
yield_std_5yr,1.161429595427874
water_balance_total_mm,0.8445453361131791
ndvi_slope,0.8320434667168066
et_rain_ratio,0.5250762515469335
net_moisture_stress,0.4342340503551793
heat_rain_stress_idx,0.3903995051204998
ndvi_peak,0.2590253272437726
heat_days_gt32,0.13523548724284878
day_of_peak_ndvi,0.0
ndvi_drop_rate,0.0
