,2023,2024,ratio_b_to_a
temp_anomaly,6.071634616916792,8.382332406915666,1.380572602896888
rolling_3yr_mean,5.319104447088777,8.8962665318383,1.6725120967886533
ndvi_anomaly,2.832973274314947,2.9914185532468274,1.0559289705866337
rain_days,2.278293996834579,2.448267597804701,1.074605648439701
rain_sum_mm,2.0663585885435656,2.2069411166874007,1.068033945764913
cumulative_gdd,2.0209051476750113,1.4539267413292678,0.7194433360724354
ndvi_at_cutoff,1.9973051252867084,2.4168927034481325,1.210076854482208
water_balance_total_mm,1.8326163719635515,0.7656662040295478,0.41779950007168
ndvi_auc,1.2296706882650295,1.2613867072139935,1.0257922867086577
yield_std_5yr,1.085646966154505,1.133036754589677,1.0436511959343766
net_moisture_stress,0.932971816170787,0.35973531311209406,0.38558004312344846
yield_trend_5yr,0.9053323703159976,0.8257418854818757,0.912086999820473
ndvi_slope,0.8821519099489131,0.7005586583555603,0.7941474143564806
et_rain_ratio,0.5615576773096095,0.6740753378930319,1.2003670595734495
ndvi_peak,0.2632573680794761,0.35314068661528386,1.3414275512648612
heat_rain_stress_idx,0.2597633320733894,0.3861338367787386,1.4864832295485277
heat_days_gt32,0.03969196798479577,0.12109452456848602,3.050857156159956
day_of_peak_ndvi,0.0,0.0,0.0
ndvi_drop_rate,0.0,0.0,0.0
