,2023,2024,ratio_b_to_a
temp_anomaly,4.697733959506628,7.640075527154939,1.626332098201092
ndvi_at_cutoff,4.502920407368401,4.073238903901004,0.9045771489177816
rolling_3yr_mean,3.9224443277968954,6.121047816659803,1.560518723817755
ndvi_anomaly,3.2271287759967726,4.732541015429673,1.466486571787926
cumulative_gdd,2.1859973333187277,1.9684175403098234,0.900466578941988
ndvi_auc,1.7488142943662401,3.2641195311550573,1.8664757840042443
rain_days,1.413529662966681,1.1401953415802664,0.8066299360052004
rain_sum_mm,1.1592976993449222,2.3770101248710502,2.0503880290750285
water_balance_total_mm,1.08832902971602,0.8317166502141431,0.7642143391426072
ndvi_slope,1.011170950224007,1.4251169681660967,1.409372933281348
yield_trend_5yr,0.9155924456371582,0.9631745617654016,1.0519686639562988
et_rain_ratio,0.8723998943781759,0.6533556665011081,0.7489176359504297
yield_std_5yr,0.7959408382361122,0.7834200434696599,0.9842691891595867
ndvi_peak,0.7400420407965997,0.568087506811708,0.7676422088131702
net_moisture_stress,0.32945574350935564,0.32176017073773694,0.9766415583178316
heat_rain_stress_idx,0.15911002271309801,0.7579913578228694,4.763944752805766
heat_days_gt32,0.11112664394530197,0.11310138395327685,1.0177701758810143
day_of_peak_ndvi,0.0,0.0,0.0
ndvi_drop_rate,0.0,0.0,0.0
