feature,mean_abs_shap
rolling_3yr_mean,9.035009125422897
temp_anomaly,6.613073020214487
ndvi_auc,2.753522963794336
ndvi_anomaly,1.7719265915705205
rain_days,1.6097652259945348
cumulative_gdd,1.459085788223679
ndvi_at_cutoff,1.4490672519510222
yield_trend_5yr,1.3975286609382134
yield_std_5yr,1.2616046210099385
et_rain_ratio,1.1837327870825916
ndvi_slope,1.163012071752243
rain_sum_mm,1.06898364686099
water_balance_total_mm,0.5639033125930633
net_moisture_stress,0.46347623313170183
ndvi_peak,0.22234970085742944
heat_days_gt32,0.0
day_of_peak_ndvi,0.0
heat_rain_stress_idx,0.0
ndvi_drop_rate,0.0
