,2023,2024,ratio_b_to_a
temp_anomaly,6.313803845866898,8.538198882761368,1.3523066429044337
rolling_3yr_mean,6.115698089113734,9.91411438502657,1.6210928401901032
cumulative_gdd,2.084590291540126,1.6410762920300093,0.7872416458476154
ndvi_anomaly,1.6833757511044085,3.3304126076863247,1.9784130818691836
et_rain_ratio,1.4638300492060103,1.0575041814120936,0.7224227853402038
yield_std_5yr,1.3162337168713076,1.2884772982668267,0.9789122416112709
rain_days,1.304282518035519,1.36981184190986,1.0502416638789576
ndvi_at_cutoff,1.2984167807308413,1.719423116048087,1.324245913612017
ndvi_auc,1.1425816707669687,1.6365353543415146,1.43231367718596
ndvi_slope,1.1345348784866425,1.0469462188714105,0.9227977374022501
yield_trend_5yr,1.0905781519087645,0.8885670279190402,0.8147669439038752
rain_sum_mm,0.7589993742348489,0.6445194247745983,0.8491699027082092
water_balance_total_mm,0.59552064511001,0.5363942710574608,0.9007148206564244
net_moisture_stress,0.5349350636453363,0.587273305353994,1.0978403646827648
ndvi_peak,0.19892976787152536,0.2973677769984518,1.4948380032821462
heat_days_gt32,0.0,0.0,0.0
day_of_peak_ndvi,0.0,0.0,0.0
heat_rain_stress_idx,0.0,0.0,0.0
ndvi_drop_rate,0.0,0.0,0.0
