,2023,2024,ratio_b_to_a
ndvi_peak,7.056892854198336,7.3174445014186595,1.0369215818637965
temp_anomaly,5.054319862430147,6.253674784577472,1.2372930393785302
ndvi_at_cutoff,2.4043132635391813,1.6961001863702903,0.7054405979833127
ndvi_auc,2.314997287590637,5.292203404936631,2.286051665505215
county,2.1881159969252417,2.470600584676964,1.1290994573179263
rain_sum_mm,1.9503072977798792,1.046384723751819,0.5365230007306873
rolling_3yr_mean,1.7627354915109097,3.344821875291571,1.8975177452316416
rain_days,1.1564308448436385,0.39717304645586515,0.3434472958126321
et_rain_ratio,0.9342292191461772,0.33537267907718266,0.358983290400284
cumulative_gdd,0.9074329928787126,0.9098372536879649,1.002649518838438
water_balance_total_mm,0.6817495939364298,0.5401067341138118,0.7922362388149431
ndvi_slope,0.5907792858515065,0.6389853925374528,1.0815974896893439
yield_trend_5yr,0.44885502131360866,0.4056366330765162,0.9037141478096635
yield_std_5yr,0.4388243154425165,0.6643680510028903,1.5139727394844391
ndvi_anomaly,0.4294177363195433,0.5767862176928721,1.3431821019699737
heat_rain_stress_idx,0.41633997353609115,0.37900725721772194,0.9103311747817725
heat_days_gt32,0.24689355610999458,0.13889682494224018,0.5625777648095427
net_moisture_stress,0.21656166414095904,0.15796666148452476,0.7294304008566583
ndvi_drop_rate,0.0682516576875232,0.03397913132492963,0.4978506380093565
day_of_peak_ndvi,0.0,0.0,0.0
