feature,mean_abs_shap
ndvi_anomaly,4.8462316134703265
temp_anomaly,4.817162640522383
ndvi_at_cutoff,3.5821537489456756
rolling_3yr_mean,3.44882814943803
county,3.2684347010656967
cumulative_gdd,2.1924542577569888
rain_days,1.3571309302348145
rain_sum_mm,1.2272958451820957
ndvi_slope,1.199900646439051
ndvi_auc,1.193241101896163
yield_std_5yr,0.8728657094253425
yield_trend_5yr,0.7848266364869239
ndvi_peak,0.5684687612152942
water_balance_total_mm,0.5218007433827326
heat_rain_stress_idx,0.47846565088080284
et_rain_ratio,0.4175901249092998
heat_days_gt32,0.25315898859370106
net_moisture_stress,0.15434106926913377
day_of_peak_ndvi,0.0
ndvi_drop_rate,0.0
