,2023,2024,ratio_b_to_a
temp_anomaly,5.103833931588024,8.663846469875013,1.6975173146316134
ndvi_at_cutoff,4.3172258204968115,3.602459426541463,0.8344384973883309
ndvi_anomaly,3.7621181927755294,4.863238888715147,1.292686364307778
county,2.8654758273184866,3.4869356406414,1.216878400228724
rain_sum_mm,2.840138389106174,2.8679478311434377,1.0097915799257993
rolling_3yr_mean,2.3893514527922344,3.8848183598551724,1.6258882113450959
rain_days,1.5034010475812174,0.7117134480314113,0.47340225628847904
cumulative_gdd,1.4473856503106473,1.4768153555864612,1.020333008876727
ndvi_auc,1.2086330558053593,1.9994363565467848,1.6542956085331313
ndvi_slope,1.0185837979739323,1.453009667767338,1.4264998821476675
water_balance_total_mm,0.8146422656869382,0.6109296425015124,0.7499360986215865
yield_std_5yr,0.7943381072779374,0.8641024679536454,1.087827034906809
ndvi_peak,0.7589489158295111,0.6630580579803317,0.873653080136002
et_rain_ratio,0.633365964355507,0.719177001589098,1.1354841309177541
yield_trend_5yr,0.628265180474414,0.6452336678876596,1.0270084797639627
net_moisture_stress,0.296880171509367,0.2219422196364822,0.747581822349761
heat_rain_stress_idx,0.13911806311763836,0.5743981180994155,4.128853617043992
heat_days_gt32,0.11811603958866504,0.17383476847762933,1.4717287261154608
day_of_peak_ndvi,0.0,0.0,0.0
ndvi_drop_rate,0.0,0.0,0.0
