,2023,2024,ratio_b_to_a
temp_anomaly,6.149631721268805,8.799206510466588,1.4308509695034417
rolling_3yr_mean,4.450681910900638,7.224768489112279,1.623294729604767
county,3.3132972523346806,3.6916822879432285,1.1142019585903205
ndvi_anomaly,2.043485594317875,3.7802499167457353,1.8499028949639356
cumulative_gdd,1.794601297287372,1.3408323978228038,0.7471477925762886
rain_days,1.4885852536418516,0.9256676222234306,0.6218438748864181
et_rain_ratio,1.2469561718399607,1.0652011086158484,0.8542410171835298
yield_std_5yr,1.172183156439122,1.3994760417920136,1.1939056060516735
ndvi_auc,1.0633841323332982,1.767345912093828,1.66200139569121
ndvi_slope,1.0367949313710558,0.9321560365801447,0.8990746466588752
yield_trend_5yr,1.0176724507807735,0.7730066933330529,0.7595830001490074
ndvi_at_cutoff,0.8789430823955615,1.095186451333922,1.2460265895136107
rain_sum_mm,0.617263466213555,0.7499086980504115,1.214892406723072
water_balance_total_mm,0.42087860999327614,0.3671507970020672,0.8723436836287136
ndvi_peak,0.2840053766478706,0.3367020556275174,1.1855481737762443
net_moisture_stress,0.1753738732452856,0.20423424306032592,1.1645648196107006
heat_days_gt32,0.0,0.0,0.0
day_of_peak_ndvi,0.0,0.0,0.0
heat_rain_stress_idx,0.0,0.0,0.0
ndvi_drop_rate,0.0,0.0,0.0
