county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
adair,2025,169.79999999999998,0.8864291363119141,0.00367997937263144,2,-0.4334217409333121,0.11674103541836614,0
adams,2025,179.63333333333333,0.8897893020563885,0.003458406381124217,4,-0.4276340447515423,0.05522800586549835,0
allamakee,2025,199.43333333333337,0.8897506546142853,0.003422892716924854,1,-0.43654504182298837,0.20712824070976632,0
appanoose,2025,153.76666666666668,0.9002486017109592,0.003479154429736409,5,-0.5556448235017761,-0.12048927941864812,0
audubon,2025,203.83333333333334,0.9319034538831384,0.004010648360463972,2,-0.4208586886342367,0.057788037445287384,0
benton,2025,211.0333333333333,0.9362662266689743,0.0037821963736792913,2,-0.4681649847182463,0.1239919811828607,0
black hawk,2025,188.6,0.912852795838113,0.003560103528426707,2,-0.4624869345531799,0.14939455130587243,0
boone,2025,212.4333333333333,0.9224718404041181,0.003968242865356157,2,-0.4708957106469853,0.1195692077143257,0
bremer,2025,203.6,0.9258543784068102,0.0035828461640612292,1,-0.44742064157815875,0.18230164197888044,0
buchanan,2025,203.13333333333333,0.9202653181914741,0.003657735409692925,1,-0.4712500248053395,0.10248235853724823,0
buena vista,2025,194.9,0.9300726705689139,0.0036165499947410787,2,-0.4456052377183646,0.08625743290407539,0
butler,2025,200.0,0.9137326805742769,0.003563499913750274,2,-0.4463239597584945,0.22271274750205114,0
calhoun,2025,207.23333333333335,0.9370125027601623,0.0038622439772496198,2,-0.43419935126372167,0.15345567280591865,0
carroll,2025,203.56666666666663,0.9348260980804075,0.004084190109332732,2,-0.4277260484405687,0.07317687819156293,0
cass,2025,189.69999999999996,0.9037125119436689,0.0036439131607091555,2,-0.42371247243303145,0.06428392471176528,0
cedar,2025,211.4,0.9355286899790871,0.0037766537429146513,2,-0.4738307025492432,0.020416404721399172,0
cerro gordo,2025,199.79999999999998,0.9046147116440619,0.0035052488013263315,2,-0.4537508080432353,0.21544612786235995,0
cherokee,2025,198.69999999999996,0.9383624423464522,0.00366842712855932,2,-0.4499753201579111,0.0035606861451468476,0
chickasaw,2025,207.23333333333335,0.9231477761275317,0.0035413725620010985,1,-0.4380650454267787,0.18534321964655862,0
clarke,2025,160.3,0.8843118856363996,0.003447355178239998,4,-0.5187134164042533,-0.05406602488839387,0
clay,2025,199.53333333333333,0.928387385170708,0.0036269777062237054,2,-0.4948265431669938,0.011621393022469178,0
clayton,2025,203.9333333333333,0.9155822302155998,0.0035208316024295896,1,-0.44443759182048126,0.111565690622308,0
clinton,2025,209.9,0.9271563390389764,0.0035987280785643627,2,-0.47243856365317427,-0.07374956630938495,0
crawford,2025,207.60000000000002,0.947854705527941,0.004143150604778597,2,-0.410812227463051,0.02633310380885985,0
dallas,2025,178.9333333333333,0.9107523693143663,0.003648510020982454,2,-0.456239065910502,0.1286335712864995,0
davis,2025,162.4,0.9034177789863407,0.003462887364594117,5,-0.5590015171945701,-0.08126328629127286,0
decatur,2025,171.1,0.8884918998247749,0.0033863377543636836,4,-0.5460488294730368,-0.15807821454521429,0
delaware,2025,215.9,0.9257281500706592,0.003570273502894132,0,-0.4661978474603927,0.008650590076029335,0
des moines,2025,197.63333333333335,0.9006559471226396,0.0035043295056003242,4,-0.5241696333944219,-0.035075793684934936,0
dickinson,2025,194.13333333333333,0.9289194984580587,0.0036704502890414,2,-0.5242088080656231,-0.02088250505793183,0
dubuque,2025,213.46666666666667,0.9090496448968226,0.0034728710025848926,1,-0.4280577809047159,0.03004295613483996,0
emmet,2025,174.79999999999998,0.9390148139261204,0.003716755925518568,2,-0.4853552731315638,0.02046407771838555,0
fayette,2025,207.1,0.9183448667867545,0.0035292544895833547,1,-0.4477349788624849,0.13750027558198727,0
floyd,2025,200.26666666666665,0.9182424065872467,0.0035672387139592207,2,-0.4446660773514992,0.18886641988790612,0
franklin,2025,209.83333333333334,0.9077200950021446,0.003534999711154194,2,-0.4490541079250896,0.2707070174549056,0
fremont,2025,203.1,0.9289245362116443,0.0036662267827225294,7,-0.3314260938293785,-0.10496179950561227,0
greene,2025,208.6,0.9379925320155306,0.004016170139326282,2,-0.44991345451049014,0.11591819993921082,0
grundy,2025,199.86666666666665,0.9282768575389736,0.0035168255611131233,2,-0.44985810256094894,0.19936415265689736,0
guthrie,2025,189.33333333333334,0.9172857445233654,0.0039475178903152185,2,-0.437867780633475,0.08338588167041792,0
hamilton,2025,196.76666666666665,0.9219138791451921,0.0037881757203656642,2,-0.4540538476012621,0.22513469551573453,0
hancock,2025,208.73333333333335,0.9106875743741708,0.0035365096804363737,2,-0.4485567503976675,0.186314445717877,0
hardin,2025,188.16666666666666,0.9149322344399128,0.0035872039251421467,2,-0.46231466485347283,0.20687092510714625,0
harrison,2025,176.20000000000002,0.9284573257732843,0.003721401972368823,5,-0.36569588973861755,-0.08164663472436766,0
henry,2025,176.83333333333334,0.9119251733747488,0.003512082746391475,5,-0.501174398177838,0.058728655609060626,0
howard,2025,202.79999999999998,0.9291249324716934,0.0035756297299180976,0,-0.4530169846308709,0.1754429184219775,0
humboldt,2025,202.23333333333335,0.9065350289706877,0.00349012579781949,2,-0.4403458017762887,0.21568441332355748,0
ida,2025,215.33333333333334,0.9443227802509923,0.003899688079900687,2,-0.4089436511475313,0.0742628848210454,0
iowa,2025,190.16666666666666,0.9289102847865178,0.003738987376812444,3,-0.4853229715746039,0.08308953009146278,0
jackson,2025,200.0,0.914777636117045,0.0035478170687396732,2,-0.4515012882553009,-0.07117080809822725,0
