county,year,rolling_3yr_mean,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
adair,2025,181.36666666666667,0.7439687391405565,0.005634938830574039,2,-2.853839953447075,0.046714757236343864,0.0
adams,2025,174.93333333333337,0.7473494470619588,0.005511963501834576,3,-2.8387618735020617,0.06096964023764637,0.0
allamakee,2025,205.36666666666667,0.7671438308669853,0.006011695700614178,1,-3.1471772021653663,0.2099152666471069,0.0
appanoose,2025,163.5,0.8036961685553177,0.005800751720455556,3,-3.1426640700893813,-0.1375835672507828,0.0
audubon,2025,206.56666666666663,0.7450775078794998,0.006502748173095852,2,-2.8140334267766,-0.052664100138514074,0.0
benton,2025,220.0,0.7632378792264998,0.0066736933919501785,2,-2.8379476094269975,0.03690261334874095,1.0
black hawk,2025,200.63333333333335,0.7402532805993906,0.006286962760550771,2,-2.840758687451274,0.07273313902423427,1.0
boone,2025,215.5,0.7897189331210949,0.00701173767860272,2,-2.8285082678466686,0.004500914325713629,0.0
bremer,2025,205.53333333333333,0.747573778590152,0.006404187727700052,1,-2.86570398334457,0.14275808677622853,0.0
buchanan,2025,207.06666666666663,0.7506048517835225,0.006493744376155552,1,-2.8945851417087916,0.04259383080295843,0.0
buena vista,2025,204.26666666666668,0.7387081567835214,0.006642856487476008,2,-2.850459527983684,-0.06178296226513858,1.0
butler,2025,201.76666666666668,0.7484006248311409,0.00653062354096127,2,-2.822055075664327,0.18050974930636848,0.0
calhoun,2025,210.9,0.7634871176669348,0.006942496012017583,2,-2.7807548787637195,-0.1143847412019646,0.0
carroll,2025,211.1,0.7744179485020942,0.006944677904855982,2,-2.7941986501027536,-0.15326667030457788,1.0
cass,2025,202.86666666666665,0.7304032241693604,0.005744509878895568,2,-2.828795113152257,0.07865843735732218,0.0
cedar,2025,221.1,0.7681916719489039,0.006656039757672656,2,-2.9456210922959123,-0.04665607278523104,0.0
cerro gordo,2025,205.53333333333333,0.7181781656796353,0.006038463229660868,2,-2.8704798945194128,0.22264933930708322,1.0
cherokee,2025,205.83333333333334,0.7436847812103227,0.006506869150085286,2,-2.874250884700576,-0.04028292986472492,2.0
chickasaw,2025,206.66666666666666,0.7307293471633333,0.006223221599551034,1,-2.904233951000533,0.19246809505314766,0.0
clarke,2025,166.96666666666667,0.7819998911014148,0.005406674489529985,3,-2.9524364807886094,-0.06850989651428702,0.0
clay,2025,190.46666666666667,0.7512729286003923,0.006731356816930001,2,-2.9754312846163558,0.02329581772703217,0.0
clayton,2025,212.23333333333335,0.7557267525227039,0.0062069765969720294,1,-3.067398649792752,0.09557895866763354,0.0
clinton,2025,219.70000000000002,0.7662329064533832,0.006468126141643205,2,-3.039483474200665,-0.10314940747170881,1.0
crawford,2025,206.16666666666666,0.7473442871734164,0.00666299624440673,2,-2.7929893177329532,-0.19590301763207063,0.0
dallas,2025,202.66666666666666,0.774940853608065,0.00673131387751791,2,-2.8320886311409303,0.008856587450753411,0.0
davis,2025,176.53333333333333,0.8089033384316047,0.005766005782906764,3,-3.1661214647506206,-0.08698312043519138,0.0
decatur,2025,175.4,0.7981971669207995,0.00563674834037974,3,-3.010689324852013,-0.1613689011556952,0.0
delaware,2025,216.4,0.7704897763767153,0.006589923944906628,0,-2.9759700965149385,-0.05511810199193284,0.0
des moines,2025,208.16666666666666,0.795338197432439,0.00668275258171855,2,-3.1197020160719617,-0.01214034742689251,1.0
dickinson,2025,188.5,0.7412348754801201,0.00651288371580585,2,-3.1022842863664852,0.12121454416444702,2.0
dubuque,2025,214.96666666666667,0.7629049489443034,0.005918850536040484,1,-3.0391832795840568,-0.04112525822292711,0.0
emmet,2025,194.0666666666667,0.7564591378087177,0.006839405575458891,2,-3.015614465749163,0.14431305908300368,0.0
fayette,2025,205.63333333333333,0.7370222788724361,0.006224278942098539,1,-2.964359048639949,0.08575950211226196,0.0
floyd,2025,202.16666666666666,0.7312152581864222,0.006260181562136427,2,-2.8583264706401152,0.21399809935949904,0.0
franklin,2025,211.83333333333334,0.7371071271856225,0.0064388771975833455,2,-2.825233423462233,0.17507693761183082,1.0
fremont,2025,211.20000000000002,0.7940182889884099,0.007115077432278879,4,-2.6926449146213614,-0.1465545660260643,0.0
greene,2025,209.46666666666667,0.7777947019399586,0.006984594926094492,2,-2.803166442085594,-0.04058370015260844,0.0
grundy,2025,209.93333333333337,0.7370196282122409,0.0063914953266775276,2,-2.7896126678850237,0.09474157869933711,1.0
guthrie,2025,188.29999999999998,0.7633176544035856,0.006287521280048941,2,-2.8314551049755607,-0.02924345203187881,1.0
hamilton,2025,212.13333333333333,0.7691004571388309,0.00689342994947614,2,-2.810178009769956,0.026286605122443372,0.0
hancock,2025,206.5,0.7013800721783937,0.006008045130356159,2,-2.8694146715199746,0.14807047631637893,1.0
hardin,2025,207.36666666666667,0.7576383695862381,0.006738064784434363,2,-2.805143519124101,0.06481538113364073,1.0
harrison,2025,180.96666666666667,0.7489248613775475,0.006562354254584299,4,-2.7474660124430628,-0.22060783087291547,0.0
henry,2025,192.16666666666666,0.7954305436906886,0.006537474060560618,3,-3.036341299580375,0.05429512372701988,1.0
howard,2025,204.53333333333333,0.7172749591228386,0.006091090678435863,0,-3.0023115961889513,0.21954387129653766,0.0
humboldt,2025,202.33333333333334,0.7523653687014489,0.0066564854921245175,2,-2.8221351321131003,0.03556666250735311,0.0
ida,2025,213.56666666666663,0.7395220165867719,0.0065768136935877445,2,-2.8041824465160694,-0.20070158052295378,0.0
iowa,2025,212.86666666666667,0.7792983252248448,0.006554635109958,3,-2.870116010434945,-0.01505836167225761,0.0
jackson,2025,212.1,0.7804605238286706,0.005910681752866719,2,-3.0584640500356137,-0.14730804424582095,0.0
jasper,2025,214.4333333333333,0.8014830703415945,0.006864074254120188,3,-2.8219552397809124,-0.1250719033121035,0.0
jefferson,2025,192.26666666666665,0.7944892426387974,0.006352503461147458,3,-3.0075351613990335,-0.05952473973355033,0.0
johnson,2025,210.46666666666667,0.7664446097504628,0.006165397747905487,3,-2.9174455803506376,-0.05264648586639028,0.0
