county,date,year,NDVI
adair,2025-04-07,2025,0.3164388821189206
adair,2025-04-23,2025,0.3811935510247972
adair,2025-05-09,2025,0.3911630889829862
adair,2025-05-25,2025,0.459447600546832
adair,2025-06-10,2025,0.6177400843799766
adair,2025-06-26,2025,0.769949407548117
adams,2025-04-07,2025,0.3273826680553097
adams,2025-04-23,2025,0.3855710210851166
adams,2025-05-09,2025,0.4031349826188382
adams,2025-05-25,2025,0.4755080039047422
adams,2025-06-10,2025,0.6472547698822295
adams,2025-06-26,2025,0.7338104184130136
allamakee,2025-04-07,2025,0.2838339467080115
allamakee,2025-04-23,2025,0.3946017689342687
allamakee,2025-05-09,2025,0.444604041273342
allamakee,2025-05-25,2025,0.5092813106561299
allamakee,2025-06-10,2025,0.6845817973385077
allamakee,2025-06-26,2025,0.814644204962024
appanoose,2025-04-07,2025,0.3393595865919991
appanoose,2025-04-23,2025,0.4518404989172985
appanoose,2025-05-09,2025,0.4806001226406839
appanoose,2025-05-25,2025,0.567892638345654
appanoose,2025-06-10,2025,0.6830340221681513
appanoose,2025-06-26,2025,0.8672953774994508
audubon,2025-04-07,2025,0.2640090215817957
audubon,2025-04-23,2025,0.305893606135431
audubon,2025-05-09,2025,0.3121117310197827
audubon,2025-05-25,2025,0.3893314071715436
audubon,2025-06-10,2025,0.57846001994976
audubon,2025-06-26,2025,0.8560164027073449
benton,2025-04-07,2025,0.2516066291342245
benton,2025-04-23,2025,0.3233674305683178
benton,2025-05-09,2025,0.3329679760867149
benton,2025-05-25,2025,0.3358697001347113
benton,2025-06-10,2025,0.642434768124353
benton,2025-06-26,2025,0.8577833534096717
black hawk,2025-04-07,2025,0.2554197822254199
black hawk,2025-04-23,2025,0.3164248697068406
black hawk,2025-05-09,2025,0.3354846526042818
black hawk,2025-05-25,2025,0.338492149441827
black hawk,2025-06-10,2025,0.6302984728107904
black hawk,2025-06-26,2025,0.8063895214414482
boone,2025-04-07,2025,0.2552547241746106
boone,2025-04-23,2025,0.3206597304737578
boone,2025-05-09,2025,0.3387171752039417
boone,2025-05-25,2025,0.4235899862131874
boone,2025-06-10,2025,0.6810553663459136
boone,2025-06-26,2025,0.8712462370395783
bremer,2025-04-07,2025,0.254743942683662
bremer,2025-04-23,2025,0.3149209621525572
bremer,2025-05-09,2025,0.3523571364775834
bremer,2025-05-25,2025,0.3603809580471559
bremer,2025-06-10,2025,0.6317645988273525
bremer,2025-06-26,2025,0.8155777684913723
buchanan,2025-04-07,2025,0.2463931270338595
buchanan,2025-04-23,2025,0.317279931598911
buchanan,2025-05-09,2025,0.340044560089927
buchanan,2025-05-25,2025,0.3528612176424314
buchanan,2025-06-10,2025,0.6538651371857523
buchanan,2025-06-26,2025,0.8352138003567102
buena vista,2025-04-07,2025,0.2452604937477328
buena vista,2025-04-23,2025,0.2744655067748608
buena vista,2025-05-09,2025,0.2836283719306995
buena vista,2025-05-25,2025,0.354933615776464
buena vista,2025-06-10,2025,0.5541331735477952
buena vista,2025-06-26,2025,0.8380729192088032
butler,2025-04-07,2025,0.2496449138543629
butler,2025-04-23,2025,0.3040888646551772
butler,2025-05-09,2025,0.3313962295162067
butler,2025-05-25,2025,0.3789107074367839
butler,2025-06-10,2025,0.6468712115355192
butler,2025-06-26,2025,0.8033372428366456
calhoun,2025-04-07,2025,0.2470387281861458
calhoun,2025-04-23,2025,0.2810006055758349
calhoun,2025-05-09,2025,0.3034456822076877
calhoun,2025-05-25,2025,0.3842468348480357
calhoun,2025-06-10,2025,0.6009911177198765
calhoun,2025-06-26,2025,0.8720296155217786
carroll,2025-04-07,2025,0.2617641785207257
carroll,2025-04-23,2025,0.300855570308175
carroll,2025-05-09,2025,0.307688188660847
carroll,2025-05-25,2025,0.3860613738750272
carroll,2025-06-10,2025,0.6353630877593325
carroll,2025-06-26,2025,0.887367094286218
cass,2025-04-07,2025,0.2969642691644385
cass,2025-04-23,2025,0.3497084483167603
cass,2025-05-09,2025,0.3490622976597274
cass,2025-05-25,2025,0.4212593932516555
cass,2025-06-10,2025,0.6184146034615766
cass,2025-06-26,2025,0.7236047559393679
cedar,2025-04-07,2025,0.2583025521383945
cedar,2025-04-23,2025,0.3175570546704611
cedar,2025-05-09,2025,0.3327290597715591
cedar,2025-05-25,2025,0.3747588121095622
cedar,2025-06-10,2025,0.6439233400362239
cedar,2025-06-26,2025,0.8301422689904983
cerro gordo,2025-04-07,2025,0.2538208566543883
cerro gordo,2025-04-23,2025,0.2910034432081347
cerro gordo,2025-05-09,2025,0.3227333817050827
cerro gordo,2025-05-25,2025,0.3752618035732529
cerro gordo,2025-06-10,2025,0.584666905734737
cerro gordo,2025-06-26,2025,0.7395439523394067
cherokee,2025-04-07,2025,0.2581645431550536
cherokee,2025-04-23,2025,0.2979706505543629
cherokee,2025-05-09,2025,0.2942848895823597
cherokee,2025-05-25,2025,0.3821918541559008
cherokee,2025-06-10,2025,0.5556669652279009
cherokee,2025-06-26,2025,0.8406752304363215
chickasaw,2025-04-07,2025,0.2444516741859308
chickasaw,2025-04-23,2025,0.3076587622606591
chickasaw,2025-05-09,2025,0.3465904980613555
chickasaw,2025-05-25,2025,0.3734064261393367
chickasaw,2025-06-10,2025,0.5932026303622804
chickasaw,2025-06-26,2025,0.7958671081054695
clarke,2025-04-07,2025,0.3446826146187793
clarke,2025-04-23,2025,0.463713314930422
clarke,2025-05-09,2025,0.4805173961206711
clarke,2025-05-25,2025,0.5530343300471937
clarke,2025-06-10,2025,0.6813261815882052
clarke,2025-06-26,2025,0.840656350297025
clay,2025-04-07,2025,0.2467236608659222
clay,2025-04-23,2025,0.2828266078470668
clay,2025-05-09,2025,0.2847470734428825
clay,2025-05-25,2025,0.3776479514960344
clay,2025-06-10,2025,0.5732098873497847
clay,2025-06-26,2025,0.8481903488567927
clayton,2025-04-07,2025,0.2683003923640106
clayton,2025-04-23,2025,0.3579724496242709
clayton,2025-05-09,2025,0.3816042903849175
clayton,2025-05-25,2025,0.4413529015577476
clayton,2025-06-10,2025,0.6418601121834933
clayton,2025-06-26,2025,0.8277781468625371
clinton,2025-04-07,2025,0.2794120240252148
clinton,2025-04-23,2025,0.3299362198287091
clinton,2025-05-09,2025,0.3458900389415477
clinton,2025-05-25,2025,0.4029542484464243
clinton,2025-06-10,2025,0.6593503266764797
clinton,2025-06-26,2025,0.8272484543607374
crawford,2025-04-07,2025,0.250925339162362
crawford,2025-04-23,2025,0.2921251819932863
crawford,2025-05-09,2025,0.2985851035336339
crawford,2025-05-25,2025,0.352616697759484
crawford,2025-06-10,2025,0.5662286587645473
crawford,2025-06-26,2025,0.8832829426249189
dallas,2025-04-07,2025,0.250141800079607
dallas,2025-04-23,2025,0.3280518635101953
dallas,2025-05-09,2025,0.3477728845903202
dallas,2025-05-25,2025,0.431205554733649
dallas,2025-06-10,2025,0.6619468473157135
dallas,2025-06-26,2025,0.8529782040680804
davis,2025-04-07,2025,0.3471411342105263
davis,2025-04-23,2025,0.4560601637119116
davis,2025-05-09,2025,0.4653519277008314
davis,2025-05-25,2025,0.5819057401662052
davis,2025-06-10,2025,0.6898104709141275
davis,2025-06-26,2025,0.8555355524930753
decatur,2025-04-07,2025,0.3632621373545321
decatur,2025-04-23,2025,0.4482499700169103
decatur,2025-05-09,2025,0.4751076740718234
decatur,2025-05-25,2025,0.5685728449154678
decatur,2025-06-10,2025,0.7051437721125285
decatur,2025-06-26,2025,0.8499336604155256
delaware,2025-04-07,2025,0.2668447656851497
delaware,2025-04-23,2025,0.3442780534190457
delaware,2025-05-09,2025,0.3642478224387996
delaware,2025-05-25,2025,0.4019910662716637
delaware,2025-06-10,2025,0.7020498000250557
delaware,2025-06-26,2025,0.8529371954841494
des moines,2025-04-07,2025,0.2847527585787622
des moines,2025-04-23,2025,0.3474956985783518
des moines,2025-05-09,2025,0.3664580748769501
des moines,2025-05-25,2025,0.4920885625451026
des moines,2025-06-10,2025,0.7051034581124591
des moines,2025-06-26,2025,0.830935594895773
dickinson,2025-04-07,2025,0.2455909753437455
dickinson,2025-04-23,2025,0.2848170469725668
dickinson,2025-05-09,2025,0.2878612518430623
dickinson,2025-05-25,2025,0.3799850586741473
dickinson,2025-06-10,2025,0.5599482789876516
dickinson,2025-06-26,2025,0.8302920253055254
dubuque,2025-04-07,2025,0.3210182740669349
dubuque,2025-04-23,2025,0.3939579931580146
dubuque,2025-05-09,2025,0.4125572376992173
dubuque,2025-05-25,2025,0.4202409155999336
dubuque,2025-06-10,2025,0.6918586506294777
dubuque,2025-06-26,2025,0.834492496511031
emmet,2025-04-07,2025,0.2407826926121044
emmet,2025-04-23,2025,0.2741528286763582
emmet,2025-05-09,2025,0.3025066097654337
emmet,2025-05-25,2025,0.3610293001645944
emmet,2025-06-10,2025,0.5945213410331064
emmet,2025-06-26,2025,0.855368821692352
fayette,2025-04-07,2025,0.246008232577701
fayette,2025-04-23,2025,0.3233814892839993
fayette,2025-05-09,2025,0.3508997316227291
fayette,2025-05-25,2025,0.4003629868454916
fayette,2025-06-10,2025,0.6035222608861397
fayette,2025-06-26,2025,0.7991366894579429
floyd,2025-04-07,2025,0.2514454815805755
floyd,2025-04-23,2025,0.2971050857144651
floyd,2025-05-09,2025,0.3317303461237718
floyd,2025-05-25,2025,0.3639678482042198
floyd,2025-06-10,2025,0.5938137803784684
floyd,2025-06-26,2025,0.788479040112611
franklin,2025-04-07,2025,0.2583898646454021
franklin,2025-04-23,2025,0.2870529666553287
franklin,2025-05-09,2025,0.3113698215639762
franklin,2025-05-25,2025,0.3750890034585872
franklin,2025-06-10,2025,0.6374789187828239
franklin,2025-06-26,2025,0.7808907679713287
fremont,2025-04-07,2025,0.2628478382522179
fremont,2025-04-23,2025,0.3010166080837121
fremont,2025-05-09,2025,0.3424796915386845
fremont,2025-05-25,2025,0.3977561158674009
fremont,2025-06-10,2025,0.7311651570985254
fremont,2025-06-26,2025,0.846337264503876
greene,2025-04-07,2025,0.2557473371855794
greene,2025-04-23,2025,0.2940771435797406
greene,2025-05-09,2025,0.3149432597314978
greene,2025-05-25,2025,0.4102192206212388
greene,2025-06-10,2025,0.634631677077911
greene,2025-06-26,2025,0.8763447987334716
grundy,2025-04-07,2025,0.25029938240271
grundy,2025-04-23,2025,0.3094850824652277
grundy,2025-05-09,2025,0.3104994626293559
grundy,2025-05-25,2025,0.3163531499310302
grundy,2025-06-10,2025,0.6022614372326307
grundy,2025-06-26,2025,0.812034214741959
guthrie,2025-04-07,2025,0.289807281684965
guthrie,2025-04-23,2025,0.3507268289747654
guthrie,2025-05-09,2025,0.3587802515531861
guthrie,2025-05-25,2025,0.4344419978546568
guthrie,2025-06-10,2025,0.6065456059003408
guthrie,2025-06-26,2025,0.872802303036452
hamilton,2025-04-07,2025,0.2524512133885002
hamilton,2025-04-23,2025,0.290984718894852
hamilton,2025-05-09,2025,0.3179873708972873
hamilton,2025-05-25,2025,0.3748534129305053
hamilton,2025-06-10,2025,0.6491032418550161
hamilton,2025-06-26,2025,0.8597170951514845
hancock,2025-04-07,2025,0.2459358853198472
hancock,2025-04-23,2025,0.2821134666246664
hancock,2025-05-09,2025,0.3056940033793945
hancock,2025-05-25,2025,0.3554488295389066
hancock,2025-06-10,2025,0.5598735235901694
hancock,2025-06-26,2025,0.7216929205087832
hardin,2025-04-07,2025,0.2466223726395033
hardin,2025-04-23,2025,0.302207605673341
hardin,2025-05-09,2025,0.325100220050184
hardin,2025-05-25,2025,0.3565489733771367
hardin,2025-06-10,2025,0.6562741956224721
hardin,2025-06-26,2025,0.8275631694465075
harrison,2025-04-07,2025,0.257082371272698
harrison,2025-04-23,2025,0.2941378602077749
harrison,2025-05-09,2025,0.3467353172101695
harrison,2025-05-25,2025,0.3604195571047514
harrison,2025-06-10,2025,0.5801410231954813
harrison,2025-06-26,2025,0.8700192721097819
henry,2025-04-07,2025,0.2865168190727652
henry,2025-04-23,2025,0.3583920754944058
henry,2025-05-09,2025,0.372832375135485
henry,2025-05-25,2025,0.4894700720703135
henry,2025-06-10,2025,0.6844858989195695
henry,2025-06-26,2025,0.8372598897627282
howard,2025-04-07,2025,0.2420307254790023
howard,2025-04-23,2025,0.301375661179525
howard,2025-05-09,2025,0.3347928686521202
howard,2025-05-25,2025,0.3519430832033831
howard,2025-06-10,2025,0.5689295505750332
howard,2025-06-26,2025,0.7689569162199755
humboldt,2025-04-07,2025,0.2546360022361332
