county,date,year,NDVI
adair,2025-04-07,2025,0.3164388821189206
adair,2025-04-23,2025,0.3811935510247972
adair,2025-05-09,2025,0.3911630889829862
adair,2025-05-25,2025,0.459447600546832
adams,2025-04-07,2025,0.3273826680553097
adams,2025-04-23,2025,0.3855710210851166
adams,2025-05-09,2025,0.4031349826188382
adams,2025-05-25,2025,0.4755080039047422
allamakee,2025-04-07,2025,0.2838339467080115
allamakee,2025-04-23,2025,0.3946017689342687
allamakee,2025-05-09,2025,0.444604041273342
allamakee,2025-05-25,2025,0.5092813106561299
appanoose,2025-04-07,2025,0.3393595865919991
appanoose,2025-04-23,2025,0.4518404989172985
appanoose,2025-05-09,2025,0.4806001226406839
appanoose,2025-05-25,2025,0.567892638345654
audubon,2025-04-07,2025,0.2640090215817957
audubon,2025-04-23,2025,0.305893606135431
audubon,2025-05-09,2025,0.3121117310197827
audubon,2025-05-25,2025,0.3893314071715436
benton,2025-04-07,2025,0.2516066291342245
benton,2025-04-23,2025,0.3233674305683178
benton,2025-05-09,2025,0.3329679760867149
benton,2025-05-25,2025,0.3358697001347113
black hawk,2025-04-07,2025,0.2554197822254199
black hawk,2025-04-23,2025,0.3164248697068406
black hawk,2025-05-09,2025,0.3354846526042818
black hawk,2025-05-25,2025,0.338492149441827
boone,2025-04-07,2025,0.2552547241746106
boone,2025-04-23,2025,0.3206597304737578
boone,2025-05-09,2025,0.3387171752039417
boone,2025-05-25,2025,0.4235899862131874
bremer,2025-04-07,2025,0.254743942683662
bremer,2025-04-23,2025,0.3149209621525572
bremer,2025-05-09,2025,0.3523571364775834
bremer,2025-05-25,2025,0.3603809580471559
buchanan,2025-04-07,2025,0.2463931270338595
buchanan,2025-04-23,2025,0.317279931598911
buchanan,2025-05-09,2025,0.340044560089927
buchanan,2025-05-25,2025,0.3528612176424314
buena vista,2025-04-07,2025,0.2452604937477328
buena vista,2025-04-23,2025,0.2744655067748608
buena vista,2025-05-09,2025,0.2836283719306995
buena vista,2025-05-25,2025,0.354933615776464
butler,2025-04-07,2025,0.2496449138543629
butler,2025-04-23,2025,0.3040888646551772
butler,2025-05-09,2025,0.3313962295162067
butler,2025-05-25,2025,0.3789107074367839
calhoun,2025-04-07,2025,0.2470387281861458
calhoun,2025-04-23,2025,0.2810006055758349
calhoun,2025-05-09,2025,0.3034456822076877
calhoun,2025-05-25,2025,0.3842468348480357
carroll,2025-04-07,2025,0.2617641785207257
carroll,2025-04-23,2025,0.300855570308175
carroll,2025-05-09,2025,0.307688188660847
carroll,2025-05-25,2025,0.3860613738750272
cass,2025-04-07,2025,0.2969642691644385
cass,2025-04-23,2025,0.3497084483167603
cass,2025-05-09,2025,0.3490622976597274
cass,2025-05-25,2025,0.4212593932516555
cedar,2025-04-07,2025,0.2583025521383945
cedar,2025-04-23,2025,0.3175570546704611
cedar,2025-05-09,2025,0.3327290597715591
cedar,2025-05-25,2025,0.3747588121095622
cerro gordo,2025-04-07,2025,0.2538208566543883
cerro gordo,2025-04-23,2025,0.2910034432081347
cerro gordo,2025-05-09,2025,0.3227333817050827
cerro gordo,2025-05-25,2025,0.3752618035732529
cherokee,2025-04-07,2025,0.2581645431550536
cherokee,2025-04-23,2025,0.2979706505543629
cherokee,2025-05-09,2025,0.2942848895823597
cherokee,2025-05-25,2025,0.3821918541559008
chickasaw,2025-04-07,2025,0.2444516741859308
chickasaw,2025-04-23,2025,0.3076587622606591
chickasaw,2025-05-09,2025,0.3465904980613555
chickasaw,2025-05-25,2025,0.3734064261393367
clarke,2025-04-07,2025,0.3446826146187793
clarke,2025-04-23,2025,0.463713314930422
clarke,2025-05-09,2025,0.4805173961206711
clarke,2025-05-25,2025,0.5530343300471937
clay,2025-04-07,2025,0.2467236608659222
clay,2025-04-23,2025,0.2828266078470668
clay,2025-05-09,2025,0.2847470734428825
clay,2025-05-25,2025,0.3776479514960344
clayton,2025-04-07,2025,0.2683003923640106
clayton,2025-04-23,2025,0.3579724496242709
clayton,2025-05-09,2025,0.3816042903849175
clayton,2025-05-25,2025,0.4413529015577476
clinton,2025-04-07,2025,0.2794120240252148
clinton,2025-04-23,2025,0.3299362198287091
clinton,2025-05-09,2025,0.3458900389415477
clinton,2025-05-25,2025,0.4029542484464243
crawford,2025-04-07,2025,0.250925339162362
crawford,2025-04-23,2025,0.2921251819932863
crawford,2025-05-09,2025,0.2985851035336339
crawford,2025-05-25,2025,0.352616697759484
dallas,2025-04-07,2025,0.250141800079607
dallas,2025-04-23,2025,0.3280518635101953
dallas,2025-05-09,2025,0.3477728845903202
dallas,2025-05-25,2025,0.431205554733649
davis,2025-04-07,2025,0.3471411342105263
davis,2025-04-23,2025,0.4560601637119116
davis,2025-05-09,2025,0.4653519277008314
davis,2025-05-25,2025,0.5819057401662052
decatur,2025-04-07,2025,0.3632621373545321
decatur,2025-04-23,2025,0.4482499700169103
decatur,2025-05-09,2025,0.4751076740718234
decatur,2025-05-25,2025,0.5685728449154678
delaware,2025-04-07,2025,0.2668447656851497
delaware,2025-04-23,2025,0.3442780534190457
delaware,2025-05-09,2025,0.3642478224387996
delaware,2025-05-25,2025,0.4019910662716637
des moines,2025-04-07,2025,0.2847527585787622
des moines,2025-04-23,2025,0.3474956985783518
des moines,2025-05-09,2025,0.3664580748769501
des moines,2025-05-25,2025,0.4920885625451026
dickinson,2025-04-07,2025,0.2455909753437455
dickinson,2025-04-23,2025,0.2848170469725668
dickinson,2025-05-09,2025,0.2878612518430623
dickinson,2025-05-25,2025,0.3799850586741473
dubuque,2025-04-07,2025,0.3210182740669349
dubuque,2025-04-23,2025,0.3939579931580146
dubuque,2025-05-09,2025,0.4125572376992173
dubuque,2025-05-25,2025,0.4202409155999336
emmet,2025-04-07,2025,0.2407826926121044
emmet,2025-04-23,2025,0.2741528286763582
emmet,2025-05-09,2025,0.3025066097654337
emmet,2025-05-25,2025,0.3610293001645944
fayette,2025-04-07,2025,0.246008232577701
fayette,2025-04-23,2025,0.3233814892839993
fayette,2025-05-09,2025,0.3508997316227291
fayette,2025-05-25,2025,0.4003629868454916
floyd,2025-04-07,2025,0.2514454815805755
floyd,2025-04-23,2025,0.2971050857144651
floyd,2025-05-09,2025,0.3317303461237718
floyd,2025-05-25,2025,0.3639678482042198
franklin,2025-04-07,2025,0.2583898646454021
franklin,2025-04-23,2025,0.2870529666553287
franklin,2025-05-09,2025,0.3113698215639762
franklin,2025-05-25,2025,0.3750890034585872
fremont,2025-04-07,2025,0.2628478382522179
fremont,2025-04-23,2025,0.3010166080837121
fremont,2025-05-09,2025,0.3424796915386845
fremont,2025-05-25,2025,0.3977561158674009
greene,2025-04-07,2025,0.2557473371855794
greene,2025-04-23,2025,0.2940771435797406
greene,2025-05-09,2025,0.3149432597314978
greene,2025-05-25,2025,0.4102192206212388
grundy,2025-04-07,2025,0.25029938240271
grundy,2025-04-23,2025,0.3094850824652277
grundy,2025-05-09,2025,0.3104994626293559
grundy,2025-05-25,2025,0.3163531499310302
guthrie,2025-04-07,2025,0.289807281684965
guthrie,2025-04-23,2025,0.3507268289747654
guthrie,2025-05-09,2025,0.3587802515531861
guthrie,2025-05-25,2025,0.4344419978546568
hamilton,2025-04-07,2025,0.2524512133885002
hamilton,2025-04-23,2025,0.290984718894852
hamilton,2025-05-09,2025,0.3179873708972873
hamilton,2025-05-25,2025,0.3748534129305053
hancock,2025-04-07,2025,0.2459358853198472
hancock,2025-04-23,2025,0.2821134666246664
hancock,2025-05-09,2025,0.3056940033793945
hancock,2025-05-25,2025,0.3554488295389066
hardin,2025-04-07,2025,0.2466223726395033
hardin,2025-04-23,2025,0.302207605673341
hardin,2025-05-09,2025,0.325100220050184
hardin,2025-05-25,2025,0.3565489733771367
harrison,2025-04-07,2025,0.257082371272698
harrison,2025-04-23,2025,0.2941378602077749
harrison,2025-05-09,2025,0.3467353172101695
harrison,2025-05-25,2025,0.3604195571047514
henry,2025-04-07,2025,0.2865168190727652
henry,2025-04-23,2025,0.3583920754944058
henry,2025-05-09,2025,0.372832375135485
henry,2025-05-25,2025,0.4894700720703135
howard,2025-04-07,2025,0.2420307254790023
howard,2025-04-23,2025,0.301375661179525
howard,2025-05-09,2025,0.3347928686521202
howard,2025-05-25,2025,0.3519430832033831
humboldt,2025-04-07,2025,0.2546360022361332
humboldt,2025-04-23,2025,0.2859618825004451
humboldt,2025-05-09,2025,0.3048985449466773
humboldt,2025-05-25,2025,0.3720676592438893
ida,2025-04-07,2025,0.2543256838490051
ida,2025-04-23,2025,0.2875027339943903
ida,2025-05-09,2025,0.2925135442320841
ida,2025-05-25,2025,0.3485824621141384
iowa,2025-04-07,2025,0.2795845017020426
iowa,2025-04-23,2025,0.3504837740044007
iowa,2025-05-09,2025,0.365652522058334
iowa,2025-05-25,2025,0.3829685283014903
jackson,2025-04-07,2025,0.3305483333959695
jackson,2025-04-23,2025,0.4057472411178326
jackson,2025-05-09,2025,0.4381359743024579
jackson,2025-05-25,2025,0.4707283181419225
jasper,2025-04-07,2025,0.2758306083846114
jasper,2025-04-23,2025,0.3526045034967409
jasper,2025-05-09,2025,0.3695287520986315
jasper,2025-05-25,2025,0.4432886443330105
jefferson,2025-04-07,2025,0.2922117121170735
jefferson,2025-04-23,2025,0.3814538940710731
jefferson,2025-05-09,2025,0.3973551908072927
jefferson,2025-05-25,2025,0.5081914189876333
johnson,2025-04-07,2025,0.2851056562322498
johnson,2025-04-23,2025,0.3625225191303052
johnson,2025-05-09,2025,0.380135475033702
johnson,2025-05-25,2025,0.4334546416617706
jones,2025-04-07,2025,0.2704724255169983
jones,2025-04-23,2025,0.3437907714640096
jones,2025-05-09,2025,0.3666722371572666
jones,2025-05-25,2025,0.3821370142873404
keokuk,2025-04-07,2025,0.289207103654212
keokuk,2025-04-23,2025,0.3516136798136051
keokuk,2025-05-09,2025,0.3748128254400922
keokuk,2025-05-25,2025,0.4447804253386616
kossuth,2025-04-07,2025,0.2490073155992631
kossuth,2025-04-23,2025,0.2801447831674599
kossuth,2025-05-09,2025,0.3082807776384272
kossuth,2025-05-25,2025,0.3810916340240933
lee,2025-04-07,2025,0.3162927256479278
lee,2025-04-23,2025,0.3971642560488335
lee,2025-05-09,2025,0.4097140034747455
lee,2025-05-25,2025,0.5006615986793472
linn,2025-04-07,2025,0.2653175658167238
linn,2025-04-23,2025,0.34273689886214
linn,2025-05-09,2025,0.3664610551501071
linn,2025-05-25,2025,0.3845704232603781
louisa,2025-04-07,2025,0.2916459151352243
louisa,2025-04-23,2025,0.3503404687193704
louisa,2025-05-09,2025,0.3683728718580812
louisa,2025-05-25,2025,0.4758020675353027
lucas,2025-04-07,2025,0.3264332019478581
lucas,2025-04-23,2025,0.4412127997308209
lucas,2025-05-09,2025,0.4656016450299697
lucas,2025-05-25,2025,0.5318384975466917
lyon,2025-04-07,2025,0.2712967680120733
lyon,2025-04-23,2025,0.3176946306116074
lyon,2025-05-09,2025,0.2999248088736284
lyon,2025-05-25,2025,0.3958914658068236
madison,2025-04-07,2025,0.2995552535776906
madison,2025-04-23,2025,0.3925714079846685
madison,2025-05-09,2025,0.4125462421962194
madison,2025-05-25,2025,0.5029819899165522
mahaska,2025-04-07,2025,0.2866440225001459
mahaska,2025-04-23,2025,0.3632225878185429
mahaska,2025-05-09,2025,0.3785971067754221
mahaska,2025-05-25,2025,0.4882991351694784
marion,2025-04-07,2025,0.3040147161245826
marion,2025-04-23,2025,0.4097509325722669
marion,2025-05-09,2025,0.4289282769192337
marion,2025-05-25,2025,0.511689031774094
marshall,2025-04-07,2025,0.2535668232001304
marshall,2025-04-23,2025,0.3289202654866273
marshall,2025-05-09,2025,0.345261268409197
marshall,2025-05-25,2025,0.3601552079766363
mills,2025-04-07,2025,0.2774050295897078
mills,2025-04-23,2025,0.3171434071929139
mills,2025-05-09,2025,0.3561983554728573
mills,2025-05-25,2025,0.3863044998376007
mitchell,2025-04-07,2025,0.2518888984199295
mitchell,2025-04-23,2025,0.2978140676685061
mitchell,2025-05-09,2025,0.3254992181928831
mitchell,2025-05-25,2025,0.346029285958581
monona,2025-04-07,2025,0.2475791558763231
monona,2025-04-23,2025,0.2770663392172858
monona,2025-05-09,2025,0.3090558941861173
monona,2025-05-25,2025,0.351838956112857
monroe,2025-04-07,2025,0.3387039793549966
monroe,2025-04-23,2025,0.4640882423556168
monroe,2025-05-09,2025,0.494532175477833
