county,datetime,year,wind_mph
taylor,2025-04-18 03:21:00+00:00,2025,76
taylor,2025-04-18 03:08:00+00:00,2025,61
buena vista,2025-04-18 06:19:00+00:00,2025,61
ringgold,2025-04-02 06:15:00+00:00,2025,61
page,2025-04-18 02:09:00+00:00,2025,74
osceola,2025-04-29 00:26:00+00:00,2025,64
story,2025-04-29 02:53:00+00:00,2025,62
dickinson,2025-04-28 21:28:00+00:00,2025,60
des moines,2025-04-21 00:14:00+00:00,2025,60
des moines,2025-04-21 00:14:00+00:00,2025,60
des moines,2025-04-21 00:17:00+00:00,2025,61
pottawattamie,2025-04-02 05:23:00+00:00,2025,60
des moines,2025-04-21 00:17:00+00:00,2025,61
linn,2025-05-07 22:10:00+00:00,2025,59
black hawk,2025-06-12 00:28:00+00:00,2025,60
benton,2025-06-12 01:15:00+00:00,2025,66
benton,2025-06-12 01:15:00+00:00,2025,60
woodbury,2025-06-15 02:22:00+00:00,2025,77
carroll,2025-06-17 00:51:00+00:00,2025,60
madison,2025-06-26 21:20:00+00:00,2025,63
marshall,2025-06-20 13:53:00+00:00,2025,58
mills,2025-06-20 06:34:00+00:00,2025,60
dickinson,2025-06-11 19:43:00+00:00,2025,58
tama,2025-06-12 00:45:00+00:00,2025,63
palo alto,2025-06-11 20:51:00+00:00,2025,67
cherokee,2025-06-16 22:27:00+00:00,2025,53
osceola,2025-06-29 06:50:00+00:00,2025,53
woodbury,2025-06-16 22:33:00+00:00,2025,58
grundy,2025-06-12 00:08:00+00:00,2025,58
cerro gordo,2025-06-20 09:10:00+00:00,2025,59
guthrie,2025-06-23 23:12:00+00:00,2025,59
franklin,2025-06-11 23:30:00+00:00,2025,61
sioux,2025-06-29 08:48:00+00:00,2025,64
sioux,2025-06-14 23:50:00+00:00,2025,51
lyon,2025-06-11 18:17:00+00:00,2025,56
page,2025-06-20 06:57:00+00:00,2025,72
palo alto,2025-06-11 21:04:00+00:00,2025,70
wright,2025-06-11 22:20:00+00:00,2025,71
woodbury,2025-06-16 22:24:00+00:00,2025,57
wright,2025-06-11 23:05:00+00:00,2025,61
polk,2025-06-23 22:43:00+00:00,2025,65
wright,2025-06-25 22:45:00+00:00,2025,58
taylor,2025-06-20 08:04:00+00:00,2025,57
floyd,2025-06-13 01:45:00+00:00,2025,39
plymouth,2025-06-29 09:04:00+00:00,2025,55
mills,2025-06-17 02:03:00+00:00,2025,62
benton,2025-06-12 01:15:00+00:00,2025,60
plymouth,2025-06-29 09:15:00+00:00,2025,53
benton,2025-06-12 01:33:00+00:00,2025,60
dickinson,2025-06-11 20:06:00+00:00,2025,59
polk,2025-06-23 22:27:00+00:00,2025,62
mills,2025-06-29 11:15:00+00:00,2025,56
henry,2025-06-03 23:30:00+00:00,2025,62
mills,2025-06-20 06:16:00+00:00,2025,66
plymouth,2025-06-29 08:52:00+00:00,2025,61
cherokee,2025-06-16 22:37:00+00:00,2025,66
tama,2025-06-12 00:50:00+00:00,2025,60
mills,2025-06-20 06:24:00+00:00,2025,76
hardin,2025-06-11 23:47:00+00:00,2025,60
hancock,2025-06-20 08:49:00+00:00,2025,62
floyd,2025-06-26 20:05:00+00:00,2025,47
montgomery,2025-06-20 07:00:00+00:00,2025,58
benton,2025-06-12 01:33:00+00:00,2025,60
clinton,2025-06-25 21:29:00+00:00,2025,66
clinton,2025-06-25 21:42:00+00:00,2025,60
cherokee,2025-06-29 09:22:00+00:00,2025,75
montgomery,2025-06-26 19:49:00+00:00,2025,53
mills,2025-06-20 06:40:00+00:00,2025,62
