county,year,yield_bu_acre
boone,2024,217.6
hamilton,2024,212.3
marshall,2024,222.2
polk,2024,218.0
poweshiek,2024,223.0
story,2024,215.5
webster,2024,211.6
benton,2024,238.6
cedar,2024,236.2
clinton,2024,235.9
iowa,2024,219.2
jackson,2024,227.5
johnson,2024,223.1
jones,2024,233.3
linn,2024,230.1
muscatine,2024,220.4
scott,2024,234.2
butler,2024,209.8
cerro gordo,2024,199.7
floyd,2024,210.1
franklin,2024,204.9
hancock,2024,203.1
humboldt,2024,205.7
mitchell,2024,212.8
winnebago,2024,182.6
worth,2024,198.6
allamakee,2024,216.3
black hawk,2024,205.9
bremer,2024,205.9
buchanan,2024,220.8
chickasaw,2024,206.5
clayton,2024,220.2
delaware,2024,219.5
dubuque,2024,221.7
fayette,2024,201.2
howard,2024,212.5
winneshiek,2024,212.1
cherokee,2024,207.1
clay,2024,176.1
dickinson,2024,160.8
lyon,2024,198.8
o brien,2024,199.0
palo alto,2024,182.3
plymouth,2024,195.6
pocahontas,2024,203.0
clarke,2024,183.9
decatur,2024,172.2
marion,2024,218.1
monroe,2024,191.7
wayne,2024,194.8
davis,2024,194.9
des moines,2024,221.8
henry,2024,213.7
jefferson,2024,203.7
lee,2024,223.3
louisa,2024,214.5
mahaska,2024,222.9
adair,2024,211.2
cass,2024,217.0
fremont,2024,231.0
mills,2024,210.9
montgomery,2024,215.8
page,2024,209.1
taylor,2024,192.7
audubon,2024,224.2
calhoun,2024,228.8
carroll,2024,240.9
crawford,2024,214.2
greene,2024,223.1
ida,2024,221.5
monona,2024,192.0
sac,2024,229.1
woodbury,2024,206.4
boone,2023,226.5
dallas,2023,210.9
grundy,2023,212.9
hamilton,2023,215.5
hardin,2023,213.3
jasper,2023,218.0
marshall,2023,216.3
polk,2023,206.4
poweshiek,2023,204.9
story,2023,211.4
tama,2023,197.4
webster,2023,212.8
benton,2023,199.7
cedar,2023,205.7
clinton,2023,198.0
iowa,2023,213.5
jackson,2023,189.6
johnson,2023,203.1
jones,2023,190.7
linn,2023,179.5
muscatine,2023,211.9
scott,2023,210.1
butler,2023,183.1
floyd,2023,191.8
franklin,2023,210.5
hancock,2023,204.9
humboldt,2023,205.8
mitchell,2023,171.8
winnebago,2023,211.3
worth,2023,187.6
wright,2023,202.5
allamakee,2023,183.9
bremer,2023,199.9
buchanan,2023,190.7
chickasaw,2023,198.9
clayton,2023,201.1
delaware,2023,198.9
dubuque,2023,199.5
fayette,2023,205.9
howard,2023,183.9
winneshiek,2023,195.3
buena vista,2023,212.0
cherokee,2023,211.7
clay,2023,203.9
dickinson,2023,201.3
lyon,2023,200.2
o brien,2023,212.7
osceola,2023,203.7
palo alto,2023,211.7
plymouth,2023,205.7
pocahontas,2023,218.1
sioux,2023,211.4
appanoose,2023,172.8
decatur,2023,205.3
lucas,2023,173.9
madison,2023,202.0
marion,2023,203.7
monroe,2023,181.1
union,2023,217.0
warren,2023,199.2
davis,2023,179.8
des moines,2023,207.9
henry,2023,195.1
jefferson,2023,195.1
keokuk,2023,211.6
lee,2023,203.7
mahaska,2023,214.9
van buren,2023,189.3
wapello,2023,202.9
washington,2023,188.3
fremont,2023,211.0
mills,2023,204.3
montgomery,2023,206.2
page,2023,206.6
pottawattamie,2023,198.5
taylor,2023,192.9
audubon,2023,197.6
calhoun,2023,201.6
carroll,2023,196.7
crawford,2023,187.9
greene,2023,208.0
harrison,2023,190.3
ida,2023,198.0
monona,2023,165.4
sac,2023,199.1
shelby,2023,196.0
woodbury,2023,168.3
boone,2022,202.4
dallas,2022,187.2
grundy,2022,207.5
hamilton,2022,208.6
hardin,2022,215.6
jasper,2022,203.6
marshall,2022,214.1
polk,2022,188.6
poweshiek,2022,193.3
story,2022,207.1
tama,2022,203.3
webster,2022,201.5
benton,2022,221.7
cedar,2022,221.4
clinton,2022,225.2
iowa,2022,205.9
jackson,2022,219.2
johnson,2022,205.2
jones,2022,218.2
linn,2022,215.0
muscatine,2022,213.1
scott,2022,216.2
butler,2022,212.4
cerro gordo,2022,216.9
floyd,2022,204.6
franklin,2022,220.1
hancock,2022,211.5
humboldt,2022,195.5
kossuth,2022,196.8
mitchell,2022,217.9
winnebago,2022,217.5
worth,2022,219.4
wright,2022,209.7
allamakee,2022,215.9
black hawk,2022,202.4
bremer,2022,210.8
buchanan,2022,209.7
chickasaw,2022,214.6
clayton,2022,215.4
delaware,2022,230.8
dubuque,2022,223.7
fayette,2022,209.8
howard,2022,217.2
winneshiek,2022,212.4
buena vista,2022,196.9
cherokee,2022,198.7
clay,2022,191.4
dickinson,2022,203.4
emmet,2022,213.6
lyon,2022,190.8
o brien,2022,201.1
osceola,2022,197.5
palo alto,2022,195.8
plymouth,2022,171.8
pocahontas,2022,198.2
sioux,2022,196.6
appanoose,2022,146.1
decatur,2022,148.7
lucas,2022,139.5
madison,2022,166.9
marion,2022,175.2
monroe,2022,145.4
ringgold,2022,151.8
union,2022,149.4
warren,2022,157.8
wayne,2022,170.1
davis,2022,154.9
des moines,2022,194.8
henry,2022,167.7
jefferson,2022,178.0
keokuk,2022,170.4
lee,2022,178.2
louisa,2022,196.3
mahaska,2022,186.3
van buren,2022,151.9
wapello,2022,170.8
washington,2022,185.7
adair,2022,164.2
cass,2022,179.2
fremont,2022,191.6
mills,2022,191.1
montgomery,2022,187.8
page,2022,174.5
pottawattamie,2022,195.0
taylor,2022,172.1
audubon,2022,197.9
calhoun,2022,202.3
carroll,2022,195.7
crawford,2022,216.4
greene,2022,197.3
guthrie,2022,193.6
harrison,2022,172.4
ida,2022,221.2
monona,2022,168.6
sac,2022,212.4
shelby,2022,209.0
woodbury,2022,200.2
