county,year,rolling_3yr_mean,yield_bu_acre,lag1_yield,ndvi_peak,ndvi_slope,heat_days_gt32,temp_anomaly,net_moisture_stress,wind_severe_days_58_cutoff
adair,2013,132.1,137.8,104.4,0.7944644452198769,0.003166936535111031,0,-2.010532668740826,0.07834155396939119,0
adair,2014,131.66666666666669,169.3,137.8,0.8687006531566935,0.0038216996222372405,1,-1.6903005528486652,-0.005634027730354227,0
adair,2015,137.16666666666666,176.5,169.3,0.8737185856889924,0.0037990367674848114,0,-0.7456352216495716,0.21733353825655807,0
adair,2016,161.20000000000002,190.3,176.5,0.8858824949041522,0.004125316522408429,2,-0.08648372298857865,-0.16533963326986237,1
adair,2017,178.70000000000002,175.2,190.3,0.8436108263551074,0.0030747606360632474,5,-0.12580366067647475,-0.4363703038206674,1
adair,2018,180.66666666666666,149.5,175.2,0.8415655902788242,0.003599370702491645,4,-0.2450636669763746,-0.07509622643171837,1
adair,2019,171.66666666666666,176.5,149.5,0.8567770830278675,0.0039738441495105956,3,-0.9836629751971238,0.05191733490165945,1
adair,2020,167.06666666666663,168.7,176.5,0.829887061938527,0.00368393352788694,0,-0.9018925536387421,-0.13683521691146838,0
adair,2021,164.9,204.0,168.7,0.8849687461974509,0.0043391801822743725,4,-0.20340395298968517,-0.32867866924889344,0
adair,2022,183.0666666666667,164.2,204.0,0.8262690852697869,0.003720679150682682,8,-0.45683802564940734,-0.11576909715111944,1
adair,2023,178.96666666666667,201.0,164.2,0.892545886629451,0.0037829113622400916,3,-0.13783566902719002,-0.38569767391495785,0
adair,2024,189.73333333333332,211.2,201.0,0.8852023337233725,0.0037772752501580224,1,0.03516185536987493,0.07841397303412503,2
adams,2013,133.6,147.6,109.8,0.8166669840322659,0.0030138160126439804,0,-2.0474173728074874,0.1145530208704965,1
adams,2014,136.36666666666667,169.9,147.6,0.8808179273243402,0.003937332786169478,1,-1.4666561315745845,-0.19548954098549032,2
adams,2015,142.4333333333333,169.6,169.9,0.8557835007038334,0.0036163869361537353,0,-0.7332207671391657,0.11527889196099779,0
adams,2016,162.36666666666667,187.4,169.6,0.8808558044551735,0.003793099604369963,4,-0.01206997891862116,-0.2145366554628539,0
adams,2017,175.63333333333333,179.9,187.4,0.8538053090050839,0.0031495357694098754,5,-0.22324823698610885,-0.4063923504623435,0
adams,2018,178.9666666666667,171.6,179.9,0.869050438637446,0.0037424557825138623,8,0.013225096841789963,-0.25122049384359757,0
adams,2019,179.63333333333333,198.0,171.6,0.857342456724001,0.003968819192984088,3,-1.0778436130910016,0.07987678418523828,0
adams,2020,183.16666666666666,173.3,198.0,0.8500596786936834,0.0036127588297234403,0,-1.0404690644281978,-0.075253910792511,0
adams,2021,180.96666666666667,204.0,173.3,0.8908767594969904,0.004327737719262129,5,-0.3355739589024651,-0.28856999786294024,1
adams,2022,191.76666666666665,200.0,204.0,0.8365195556338405,0.003767255370127513,11,-0.2813528434223791,-0.2541797604217244,0
adams,2023,192.4333333333333,201.0,200.0,0.9110792366666353,0.0037096435695795713,3,-0.12411038994608603,-0.19727407528833266,1
adams,2024,201.66666666666666,211.0,201.0,0.8894127874867316,0.003943730045936277,3,0.0959175611663845,0.05476152267988408,0
allamakee,2013,167.56666666666666,162.1,153.6,0.8308525653618535,0.004081662141047231,0,-1.8943478775874638,0.30951501993653996,1
allamakee,2014,163.0,175.6,162.1,0.873813692535053,0.004711155238841542,0,-1.5729617707794716,0.1692733284102642,0
allamakee,2015,163.76666666666668,175.4,175.6,0.8749819786122007,0.004139549765062442,0,-0.6978967140932895,0.0735093708828203,0
allamakee,2016,171.03333333333333,205.1,175.4,0.8930706643518513,0.004650027290622845,0,-0.054651283359454794,-0.24036576611475868,0
allamakee,2017,185.36666666666665,190.5,205.1,0.871816645973579,0.004097770524348085,0,-0.47425233049754567,0.011685158279712555,0
allamakee,2018,190.33333333333334,198.4,190.5,0.8679806237747116,0.003675043575905976,0,-0.6530514376910155,0.1959401555793395,0
allamakee,2019,198.0,187.2,198.4,0.8817171856715902,0.004472427640260672,0,-0.8689486170683445,0.31877292692503945,0
allamakee,2020,192.03333333333333,196.3,187.2,0.8593501083098609,0.004164481019327464,0,-0.7904917305378234,-0.012254780914567455,0
allamakee,2021,193.96666666666667,198.5,196.3,0.8920705320706271,0.004588869831720895,0,0.21109809014649628,-0.12656469918872446,0
allamakee,2022,194.0,215.9,198.5,0.9028943986443592,0.0044498496927277715,0,-0.8193121917156674,0.09521366686963272,0
allamakee,2023,203.5666666666667,183.9,215.9,0.8712174040706286,0.004288157664906513,0,0.12577129240264284,-0.574194421280833,0
allamakee,2024,199.43333333333337,216.3,183.9,0.8602523957256696,0.003874364637560122,0,-0.22534404412780873,0.2992009105198948,1
appanoose,2013,140.70000000000002,109.1,137.0,0.7586405742497313,0.0028141850120683076,1,-2.0884567703484187,0.09959562478933097,0
appanoose,2014,122.06666666666666,170.9,109.1,0.8828968134792028,0.004094626308009325,0,-1.6850458575542895,-0.10194056350854634,1
appanoose,2015,139.0,154.3,170.9,0.8228779882517532,0.003661563756332356,0,-0.7842180900275864,0.15736211383855978,5
appanoose,2016,144.76666666666668,186.3,154.3,0.853173207395531,0.003250277694295005,5,0.05050362845039302,-0.5173598342670467,1
appanoose,2017,170.50000000000003,170.0,186.3,0.8216790303245678,0.0029521838883681075,9,0.16890072498867426,-0.4470085804055513,0
appanoose,2018,170.20000000000002,196.0,170.0,0.8036590715096399,0.0033818754324731718,11,0.4994751570556524,-0.6374857020747339,0
appanoose,2019,184.1,166.8,196.0,0.8404939586796102,0.0037119615252349065,3,-0.9246407775974248,-0.07968321764719945,1
appanoose,2020,177.6,143.6,166.8,0.8172811101275127,0.0035819314656231555,0,-1.3718079341454867,-0.10360673381299522,0
appanoose,2021,168.79999999999998,171.6,143.6,0.8530395606466005,0.004200041261562533,2,-0.8084291224441102,0.006856314190318877,0
appanoose,2022,160.66666666666666,146.1,171.6,0.8388438353854311,0.0038768465070297283,9,-0.04171162607802259,-0.7081933482920076,0
appanoose,2023,153.76666666666665,172.8,146.1,0.8759425806772991,0.0036068653554223234,3,-0.17742317220577775,-0.4580352711884509,0
appanoose,2024,163.5,211.0,172.8,0.8493367421132867,0.003599233713689472,2,-0.010781047678595002,0.0007121875325430997,0
audubon,2013,150.5666666666667,157.1,114.8,0.8482439951507429,0.0036023526069505676,0,-2.051722317587018,0.16913028825150198,1
audubon,2014,149.49999999999997,185.5,157.1,0.9088479359873148,0.003790546445544209,0,-1.79696446429001,0.1560691929700095,0
audubon,2015,152.46666666666667,189.8,185.5,0.9091273686776227,0.003920163438077931,0,-0.7313591031017737,0.26566541633214513,0
audubon,2016,177.46666666666667,206.1,189.8,0.9036235034524461,0.004490017077176235,2,-0.14457961958535748,0.04460983004031087,1
audubon,2017,193.79999999999998,211.2,206.1,0.8816837179371209,0.0033249932869292066,2,-0.2909156271488236,-0.3425412867360878,0
audubon,2018,202.36666666666667,180.0,211.2,0.8884262835977231,0.0038632536077247872,1,-0.5248069759461487,0.08941990119444594,0
audubon,2019,199.1,216.0,180.0,0.9207241637488629,0.004286868086239667,3,-0.9879358578395561,0.058617279337371986,0
audubon,2020,202.39999999999998,170.8,216.0,0.8614049718022864,0.00385485242837894,0,-0.5630136788524922,-0.4484806011322818,0
audubon,2021,188.93333333333337,216.0,170.8,0.9234401902412086,0.004497562367600813,3,0.011597094741340186,-0.340823568057619,0
audubon,2022,200.93333333333337,197.9,216.0,0.9084123449107475,0.003666666563872798,3,-0.6625410121097701,0.004328591515783142,0
audubon,2023,194.9,197.6,197.9,0.9007430718519926,0.0039782164410178695,2,0.07917806423038698,-0.5746055138307636,0
audubon,2024,203.83333333333334,224.2,197.6,0.9088288207891333,0.0036530438402705445,0,-0.13229779526842478,0.13532874844824694,0
benton,2013,155.16666666666666,163.7,129.3,0.854250962780035,0.0036561930011478824,0,-1.8352995910963266,0.26945310072727763,1
benton,2014,150.06666666666666,185.4,163.7,0.9181649262577872,0.0046135575834775466,0,-1.7269165614228434,0.19698073528837393,3
benton,2015,159.46666666666667,187.5,185.4,0.9163767049470315,0.004200424578655386,0,-0.6365469753315587,0.10754722203614032,0
benton,2016,178.86666666666667,199.9,187.5,0.9284008329159574,0.0045937302527489215,0,-0.2093997825923779,-0.05599224305168591,0
benton,2017,190.9333333333333,215.3,199.9,0.9061232635294936,0.003522435392948228,0,-0.4604043988170119,-0.0023673172231625174,1
benton,2018,200.9,214.6,215.3,0.9022316173652905,0.0039067643210275215,0,-0.41113598420227504,-0.0770796169837763,1
benton,2019,209.93333333333337,197.6,214.6,0.8838509622088152,0.004146921074844199,2,-0.7742833427947602,0.05157762982471882,3
benton,2020,209.16666666666666,144.8,197.6,0.8544208641846853,0.00392837020090133,0,-1.0407222770002171,0.05557090309034853,1
benton,2021,185.66666666666666,211.7,144.8,0.9057762265538343,0.004679068343479146,1,-0.06002727707459954,-0.28876400387781026,0
benton,2022,184.69999999999996,221.7,211.7,0.9278629542863536,0.00437313796307083,1,-0.5202901122431847,-0.15862743292330417,1
benton,2023,192.73333333333335,199.7,221.7,0.8952768413023414,0.003758131516895643,1,0.09474729812103178,-0.7875429678028386,0
benton,2024,211.0333333333333,238.6,199.7,0.8989007614336263,0.003840836634950792,0,-0.18224536014645665,0.14998553181937976,3
black hawk,2013,160.96666666666667,166.1,126.4,0.8521621537305738,0.0037815173639066577,0,-1.9306000297828945,0.26462180047336864,0
black hawk,2014,159.53333333333333,165.2,166.1,0.8878846732436285,0.0045202744890051735,0,-1.7216779989465074,0.23231802407795932,2
black hawk,2015,152.56666666666666,192.9,165.2,0.9100891187250919,0.0041241006505154535,0,-0.6125403228320074,0.05582321871776735,1
black hawk,2016,174.73333333333332,206.4,192.9,0.912695405493403,0.004712481237159818,0,-0.13933068786434788,-0.12039536405875141,3
black hawk,2017,188.16666666666666,209.2,206.4,0.8830761463510131,0.0037044404973845288,0,-0.4608023712153333,-0.0058232056631147425,1
black hawk,2018,202.83333333333334,206.2,209.2,0.892512684197596,0.003887704024719883,0,-0.6258269308020346,0.11859105435867766,1
black hawk,2019,207.26666666666665,205.1,206.2,0.8834227577433987,0.004226302046534172,1,-0.8023971392241762,0.10156067531577384,0
black hawk,2020,206.83333333333334,169.8,205.1,0.8638856971127248,0.003950037822794937,0,-0.9473432055363595,0.06268818224035305,1
black hawk,2021,193.70000000000002,193.6,169.8,0.8902826299333758,0.004566411254275658,0,0.16732219900378809,-0.3230326522107043,0
black hawk,2022,189.5,202.4,193.6,0.9063729342410801,0.004293556748439339,1,-0.648064572409595,-0.014267429158586628,0
black hawk,2023,188.6,201.0,202.4,0.8705100580305677,0.0038603922067807304,0,0.17785523234943668,-0.8133742190421414,0
black hawk,2024,199.0,205.9,201.0,0.8926165056711648,0.003721446782945668,0,-0.16108563645351026,0.16716815080544611,1
boone,2013,164.03333333333333,154.2,147.1,0.841078306708489,0.003723250670118249,0,-2.007452747974728,0.21964881950006754,2
boone,2014,161.26666666666668,180.9,154.2,0.911190654860799,0.003917191991309711,0,-1.8600169060765204,0.23746094786520777,0
boone,2015,160.73333333333332,192.3,180.9,0.9152766733428623,0.004115475424030457,0,-0.6333268270575765,0.1481526883342102,0
boone,2016,175.79999999999998,208.4,192.3,0.9191914015167448,0.004583110640664259,2,-0.15904252630271998,-0.08173925096513525,1
boone,2017,193.86666666666667,192.4,208.4,0.8762874320031195,0.0033506007548960506,2,-0.17224205611399412,-0.3102398640903839,1
boone,2018,197.70000000000002,193.7,192.4,0.8845860957949283,0.0037777146101341075,0,-0.6424298809914255,0.1298700735271193,1
boone,2019,198.16666666666666,194.8,193.7,0.9084531972065907,0.004166449559037489,3,-0.8328232876219239,0.017374563619223012,0
boone,2020,193.63333333333333,160.7,194.8,0.8757210781133419,0.003826219208809006,0,-0.5887057518545724,-0.3619013933027267,1
boone,2021,183.0666666666667,208.4,160.7,0.9008873421449053,0.004390818857374349,2,0.06574040740250808,-0.39281379722417203,0
boone,2022,187.96666666666667,202.4,208.4,0.9033020645017777,0.0039036192866959744,3,-0.7089652858222699,-0.09158526247691132,0
boone,2023,190.5,226.5,202.4,0.936187863700211,0.00416048488090442,1,-0.10515419811911286,-0.4487985971328699,0
boone,2024,212.4333333333333,217.6,226.5,0.9206926129373914,0.00390934403748044,0,-0.15076351238027286,0.0979984042789116,0
bremer,2013,168.13333333333335,175.1,133.3,0.8814217430950289,0.004087627439428647,0,-1.9628862584091813,0.278969951920267,0
bremer,2014,168.29999999999998,159.0,175.1,0.8821360203665344,0.004513630247177189,0,-1.7145722837253459,0.25408824207402936,1
bremer,2015,155.79999999999998,203.1,159.0,0.921243849882543,0.004216761350042687,0,-0.6472096470883848,0.1033381820492442,1
bremer,2016,179.0666666666667,210.6,203.1,0.9229733116092322,0.0047944747943448164,0,-0.10089232670906867,-0.18381195232456296,1
bremer,2017,190.89999999999998,212.7,210.6,0.895522030468273,0.004046110452694722,0,-0.4558268503272309,-0.061239930812382444,1
bremer,2018,208.79999999999998,212.4,212.7,0.9015974287296193,0.00396261489656847,0,-0.7006024394213775,0.18880631538149206,0
bremer,2019,211.9,212.5,212.4,0.8957204399946456,0.004312006843497955,1,-0.7897666416330402,0.12614877846141795,2
bremer,2020,212.5333333333333,187.6,212.5,0.8755574752761764,0.004240804543474436,0,-0.8641420998831073,-0.00795949973742297,0
bremer,2021,204.16666666666666,200.1,187.6,0.90269951533828,0.004619215298792074,0,0.27499650247760954,-0.1969579410950323,0
bremer,2022,200.0666666666667,210.8,200.1,0.9119608160025846,0.0044121116567633544,0,-0.755410957510481,0.039278100792300534,0
bremer,2023,199.5,199.9,210.8,0.9050948417432143,0.0041314713726195215,0,0.22756257021400472,-0.862350118352343,0
bremer,2024,203.6,205.9,199.9,0.8930450100731173,0.0035404280287275364,0,-0.18263674773528038,0.23382777911804772,0
buchanan,2013,164.96666666666667,168.8,140.4,0.8649993416783728,0.003894738424647278,0,-1.8463281141876884,0.2476980987040324,2
buchanan,2014,165.4,169.3,168.8,0.8979425060879268,0.004634917916780243,0,-1.7074341464120018,0.19459762578532652,1
buchanan,2015,159.5,191.6,169.3,0.9098151577402427,0.004051971775486998,0,-0.6658775602740832,0.08587063234139751,1
buchanan,2016,176.5666666666667,205.6,191.6,0.9245510930011249,0.004769258468454588,0,-0.13112203600850592,-0.16380276769279145,4
buchanan,2017,188.83333333333334,221.3,205.6,0.916436351094742,0.003859410643279448,0,-0.5149861865699137,0.09789845409979486,0
buchanan,2018,206.16666666666666,207.1,221.3,0.8928063553107195,0.003846985240093526,0,-0.5725990336951163,0.12440199352446606,1
buchanan,2019,211.33333333333334,218.9,207.1,0.8946042678967179,0.004276604358852564,1,-0.7967985241445739,0.10595254242073596,1
buchanan,2020,215.76666666666665,188.3,218.9,0.8835287840441225,0.004248034629299474,0,-0.9382571141419866,0.03508049288155658,1
buchanan,2021,204.76666666666668,209.0,188.3,0.9161097683350236,0.004730464232366624,0,0.13085006154480538,-0.37552798343904265,0
buchanan,2022,205.4,209.7,209.0,0.9145259158185414,0.004358717183281885,0,-0.6173172479779865,-0.06080419131918753,1
buchanan,2023,202.33333333333334,190.7,209.7,0.8922789371630044,0.003960428966012916,0,0.1601132911706067,-0.7442642828559274,2
buchanan,2024,203.13333333333333,220.8,190.7,0.8936593011591702,0.0037909174614815496,0,-0.18343120614730068,0.18351394380629285,2
buena vista,2013,168.9,160.5,148.2,0.856324478195589,0.0035786166903558434,0,-2.3778296120461384,0.2483328564434438,0
buena vista,2014,162.96666666666667,172.1,160.5,0.9018345459480073,0.003992429095541751,0,-1.9328946922955055,0.25486920004020597,1
buena vista,2015,160.26666666666665,202.7,172.1,0.909337841997122,0.004223466442079491,0,-0.4469815176679326,-0.04869658692599923,1
buena vista,2016,178.4333333333333,201.1,202.7,0.9256463296693423,0.0046955787774540765,2,0.02150955580017211,-0.09906102827416151,0
buena vista,2017,191.96666666666667,187.9,201.1,0.8939624859938964,0.003571913480829948,0,-0.31446486501545934,-0.27209465273059846,1
buena vista,2018,197.23333333333332,193.1,187.9,0.9104889522303016,0.004178582212814291,0,-0.9940935459836346,0.22255796469823153,1
buena vista,2019,194.03333333333333,190.8,193.1,0.9158822289764458,0.003994010265514448,1,-1.0480564119628824,0.14459436031284242,0
buena vista,2020,190.6,183.9,190.8,0.880192077238839,0.003985308984254881,2,-0.23793332641416853,-0.546635857435747,0
buena vista,2021,189.26666666666668,203.9,183.9,0.9090766234700632,0.004452894173964785,2,0.13496661356145978,-0.29147606220138306,1
buena vista,2022,192.86666666666667,196.9,203.9,0.9205542835505591,0.0037002237425574854,2,-0.5028258717828109,-0.2882550800728002,1
buena vista,2023,194.9,212.0,196.9,0.9113803608127153,0.004536716961067081,1,7.957162103267024e-05,-0.286293642249731,1
buena vista,2024,204.26666666666668,211.0,212.0,0.8843678218346824,0.0033757178927140323,0,-0.3009619087014812,0.10655378036410038,1
butler,2013,163.06666666666666,179.2,122.0,0.8738390578817,0.0038905544877303423,0,-2.0451587407518055,0.28279246589209317,1
butler,2014,162.63333333333333,167.7,179.2,0.8961990160606036,0.004443691614503652,0,-1.7926854531844398,0.26128998472607706,1
butler,2015,156.29999999999998,193.3,167.7,0.9187170508309955,0.004296031449970625,0,-0.5916102325874277,0.05659087285008901,1
butler,2016,180.0666666666667,207.3,193.3,0.9322824559799819,0.0047218667424764275,0,-0.11888472472014655,-0.16602992239153103,0
butler,2017,189.4333333333333,211.4,207.3,0.8900019052099132,0.003901090755858651,0,-0.3573398603128872,-0.2037311987179658,1
butler,2018,204.0,211.3,211.4,0.9102569135692744,0.003983431288200124,0,-0.806368507817588,0.1859819274023101,1
butler,2019,210.0,209.5,211.3,0.8960889566611298,0.004214567626724188,1,-0.8289973383883087,0.11515337114759282,0
butler,2020,210.73333333333335,192.8,209.5,0.8672709504040881,0.004056155890476851,0,-0.7850053798896575,-0.189616462604922,0
butler,2021,204.53333333333333,204.5,192.8,0.9029768727332793,0.004526995899125498,0,0.31338910442055834,-0.12926672510931025,0
butler,2022,202.26666666666665,212.4,204.5,0.9101479247539299,0.004286379570222859,1,-0.7154527056312503,0.011842422703546974,0
butler,2023,203.23333333333335,183.1,212.4,0.8990099951653822,0.004236501986133449,0,0.18032204310160438,-0.6899718832982877,0
butler,2024,200.0,209.8,183.1,0.9099337771166897,0.003722218121821757,0,-0.17974248525750625,0.2040326255623126,1
calhoun,2013,163.33333333333334,132.6,134.8,0.8296465097163659,0.0033020718140155487,0,-2.2109979207350783,0.2665353253207319,1
calhoun,2014,149.76666666666668,189.6,132.6,0.91554600256294,0.003913616605640578,0,-1.8975610530003308,0.3213846962045482,1
calhoun,2015,152.33333333333334,194.7,189.6,0.9154059831871304,0.004239013869975485,0,-0.5750424460734997,0.07037737975781543,1
calhoun,2016,172.29999999999998,207.3,194.7,0.9267337580391194,0.004801538310416474,2,-0.09288957074189241,-0.07604468054460996,1
calhoun,2017,197.20000000000002,195.1,207.3,0.8835773955027286,0.0035472168421453293,2,-0.22244426452201438,-0.3507380478392216,1
calhoun,2018,199.0333333333333,193.3,195.1,0.910447551809117,0.004127841490928569,0,-0.8637540108244046,0.17314661090501662,0
calhoun,2019,198.5666666666667,198.8,193.3,0.9118283443780044,0.00408087556564711,3,-0.975803287300117,0.0673627044040235,0
calhoun,2020,195.73333333333335,159.6,198.8,0.8939925651504245,0.0038890063975193672,1,-0.3158741812186108,-0.5910854036606339,1
calhoun,2021,183.9,217.8,159.6,0.919994804936798,0.004382500450945557,2,0.13804566059520695,-0.19267690677311466,0
calhoun,2022,192.0666666666667,202.3,217.8,0.921933173849285,0.0038832028342807193,2,-0.6324340997037119,-0.21489111501097544,0
calhoun,2023,193.23333333333335,201.6,202.3,0.919206781441245,0.004472993672552713,2,0.06891197390896053,-0.4019631933676445,0
calhoun,2024,207.23333333333335,228.8,201.6,0.9283272510768521,0.0036172252277434443,0,-0.18727839967414184,0.09289686764954827,0
carroll,2013,155.83333333333331,136.5,105.3,0.8391463485960104,0.0034302417829313314,0,-2.1303707569164665,0.24589229518037764,1
carroll,2014,140.66666666666666,188.6,136.5,0.9212893090225979,0.003843740085797843,0,-1.8802087085715726,0.24439380582428952,0
carroll,2015,143.46666666666667,195.4,188.6,0.9212542290212121,0.004129083745705747,0,-0.6842008452793849,0.20269541092782306,2
