county_fips,county_name,date,evapotranspiration,month,rainfall,soil_moisture,temperature,year
19149,Plymouth,01-01-2017,-5.11E-05,1,5.64E-05,0.28955054,270.7348978,2017
19193,Woodbury,01-01-2017,-6.08E-05,1,3.48E-05,0.362131852,270.8245486,2017
19027,Carroll,01-01-2017,-6.69E-05,1,1.58E-05,0.363668523,270.851763,2017
19061,Dubuque,01-01-2017,-0.000279478,1,5.03E-06,0.373276205,268.0623231,2017
19101,Jefferson,01-01-2017,-0.000158197,1,0.000134264,0.335645002,270.8645889,2017
19187,Webster,01-01-2017,-6.40E-05,1,2.13E-05,0.372796032,270.6215965,2017
19111,Lee,01-01-2017,-0.000414442,1,8.34E-05,0.323881513,271.6022998,2017
19127,Marshall,01-01-2017,-6.47E-05,1,4.41E-05,0.369929631,270.3150914,2017
19195,Worth,01-01-2017,-0.000210653,1,1.88E-05,0.375065859,268.447725,2017
19033,Cerro Gordo,01-01-2017,-0.00018294,1,1.88E-05,0.375566396,269.4318128,2017
19051,Davis,01-01-2017,-0.000196885,1,0.000244601,0.321578195,271.0809025,2017
19179,Wapello,01-01-2017,-0.000140706,1,0.000183432,0.33910407,270.8843589,2017
19041,Clay,01-01-2017,-8.98E-05,1,3.64E-05,0.356811253,270.5546568,2017
19059,Dickinson,01-01-2017,-0.000182098,1,3.69E-05,0.380368126,270.0429354,2017
19021,Buena Vista,01-01-2017,-6.58E-05,1,3.47E-05,0.359148993,270.8002968,2017
19013,Black Hawk,01-01-2017,-0.000104721,1,3.75E-06,0.374079878,270.1065657,2017
19075,Grundy,01-01-2017,-9.00E-05,1,3.78E-06,0.372671358,270.3530977,2017
19017,Bremer,01-01-2017,-0.000143702,1,1.73E-06,0.375846178,268.6507368,2017
19085,Harrison,01-01-2017,-6.69E-05,1,7.09E-06,0.36044432,270.8070322,2017
19129,Mills,01-01-2017,-0.000120997,1,0.000133658,0.361244299,270.7302127,2017
19155,Pottawattamie,01-01-2017,-8.78E-05,1,6.78E-05,0.358994747,270.6543063,2017
19123,Mahaska,01-01-2017,-0.00010549,1,0.000175019,0.354813042,270.665528,2017
19125,Marion,01-01-2017,-0.000117591,1,0.000177369,0.354467005,270.7078488,2017
19053,Decatur,01-01-2017,-0.000164203,1,0.00028928,0.341279457,270.5729533,2017
19031,Cedar,01-01-2017,-9.49E-05,1,5.12E-05,0.362963882,270.2710562,2017
19151,Pocahontas,01-01-2017,-7.39E-05,1,3.71E-05,0.374384719,270.8020968,2017
19109,Kossuth,01-01-2017,-0.000133797,1,3.98E-05,0.378314898,270.3119135,2017
19089,Howard,01-01-2017,-0.00017091,1,3.87E-06,0.373306796,267.4721793,2017
19147,Palo Alto,01-01-2017,-0.000100691,1,3.90E-05,0.377702057,270.5934567,2017
19159,Ringgold,01-01-2017,-0.000126378,1,0.000153069,0.34651891,270.5017603,2017
19025,Calhoun,01-01-2017,-6.72E-05,1,2.86E-05,0.371222186,270.8793169,2017
19039,Clarke,01-01-2017,-0.000140249,1,0.000289869,0.34450229,270.5828879,2017
19065,Fayette,01-01-2017,-0.000260759,1,1.87E-06,0.374245204,267.822217,2017
19001,Adair,01-01-2017,-9.03E-05,1,9.02E-05,0.352985609,270.5255234,2017
19037,Chickasaw,01-01-2017,-0.000200179,1,3.13E-06,0.375395491,267.5623614,2017
19081,Hancock,01-01-2017,-0.000138535,1,4.20E-05,0.378832107,270.0232794,2017
19157,Poweshiek,01-01-2017,-8.06E-05,1,0.000215597,0.365007563,270.402601,2017
19165,Shelby,01-01-2017,-5.83E-05,1,8.71E-06,0.361880272,270.5737956,2017
19185,Wayne,01-01-2017,-0.000156174,1,0.000276928,0.335924538,270.7235225,2017
19097,Jackson,01-01-2017,-0.000174286,1,4.19E-06,0.36831249,269.7383595,2017
19043,Clayton,01-01-2017,-0.000328361,1,4.41E-06,0.373561518,268.0310895,2017
19007,Appanoose,01-01-2017,-0.000164151,1,0.000172186,0.328536455,270.9268524,2017
19177,Van Buren,01-01-2017,-0.000242735,1,0.000229546,0.325669306,271.1697356,2017
19197,Wright,01-01-2017,-8.96E-05,1,2.50E-05,0.376163864,270.4512401,2017
19137,Montgomery,01-01-2017,-0.000136004,1,0.000189453,0.358443887,270.5797874,2017
19175,Union,01-01-2017,-0.000112128,1,0.000135889,0.348776618,270.4839315,2017
