OBJECTID,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,county
1819231,178281,1087562,IOWA,19,2023,March,Thunderstorm Wind,C,83,HARDIN,DMX,31-03-2023 15:11,CST-6,31-03-2023 15:11,0,0,0,0,0.00K,,AWOS,53,MG,,,,,,,,,,0,N,IOWA FALLS MUNI ARPT,0,N,IOWA FALLS MUNI ARPT,42.47,-93.27,42.47,-93.27,"An intense storm system tracked across the state of Iowa on Friday, March 31st. This system pulled unseasonably warm and moist conditions into the Midwest, which coupled with a very favorable wind profile and created quite the volatile environment for severe thunderstorms. This produced several long lived supercells which developed across central Iowa during the afternoon.  The storms were prolific hail producers along with a few reports of wind damage as they moved rapidly northeast.  Eventually, the storms produced a few tornadoes before exiting into eastern Iowa.",,CSV,hardin
1819412,178281,1087565,IOWA,19,2023,March,Thunderstorm Wind,C,125,MARION,DMX,31-03-2023 15:16,CST-6,31-03-2023 15:16,0,0,0,0,15.00K,,Broadcast Media,48,EG,,,,,,,,,,0,N,KNOXVILLE,0,N,KNOXVILLE,41.32,-93.1,41.32,-93.1,"An intense storm system tracked across the state of Iowa on Friday, March 31st. This system pulled unseasonably warm and moist conditions into the Midwest, which coupled with a very favorable wind profile and created quite the volatile environment for severe thunderstorms. This produced several long lived supercells which developed across central Iowa during the afternoon.  The storms were prolific hail producers along with a few reports of wind damage as they moved rapidly northeast.  Eventually, the storms produced a few tornadoes before exiting into eastern Iowa.",Large branch down on a home.,CSV,marion
1819413,178281,1087566,IOWA,19,2023,March,Thunderstorm Wind,C,125,MARION,DMX,31-03-2023 15:25,CST-6,31-03-2023 15:25,0,0,0,0,0.00K,,Trained Spotter,61,EG,,,,,,,,,,1,NE,BUSSEY,1,NE,BUSSEY,41.21,-92.89,41.21,-92.89,"An intense storm system tracked across the state of Iowa on Friday, March 31st. This system pulled unseasonably warm and moist conditions into the Midwest, which coupled with a very favorable wind profile and created quite the volatile environment for severe thunderstorms. This produced several long lived supercells which developed across central Iowa during the afternoon.  The storms were prolific hail producers along with a few reports of wind damage as they moved rapidly northeast.  Eventually, the storms produced a few tornadoes before exiting into eastern Iowa.",Estimated 60 to 70 mph wind gusts with pea sized hail. Power is out.,CSV,marion
1819600,178281,1087569,IOWA,19,2023,March,High Wind,Z,48,STORY,DMX,31-03-2023 15:56,CST-6,31-03-2023 15:56,0,0,0,0,0.00K,,ASOS,51,MG,,,,,,,,,,,,,,,,,,,,"An intense storm system tracked across the state of Iowa on Friday, March 31st. This system pulled unseasonably warm and moist conditions into the Midwest, which coupled with a very favorable wind profile and created quite the volatile environment for severe thunderstorms. This produced several long lived supercells which developed across central Iowa during the afternoon.  The storms were prolific hail producers along with a few reports of wind damage as they moved rapidly northeast.  Eventually, the storms produced a few tornadoes before exiting into eastern Iowa.",,CSV,story
1819601,178281,1087570,IOWA,19,2023,March,High Wind,Z,75,MAHASKA,DMX,31-03-2023 16:02,CST-6,31-03-2023 16:02,0,0,0,0,0.00K,,AWOS,50,MG,,,,,,,,,,,,,,,,,,,,"An intense storm system tracked across the state of Iowa on Friday, March 31st. This system pulled unseasonably warm and moist conditions into the Midwest, which coupled with a very favorable wind profile and created quite the volatile environment for severe thunderstorms. This produced several long lived supercells which developed across central Iowa during the afternoon.  The storms were prolific hail producers along with a few reports of wind damage as they moved rapidly northeast.  Eventually, the storms produced a few tornadoes before exiting into eastern Iowa.",,CSV,mahaska
1831771,181092,1103132,IOWA,19,2023,June,Thunderstorm Wind,C,101,JEFFERSON,DVN,29-06-2023 08:47,CST-6,29-06-2023 08:47,0,0,0,0,0.00K,,Trained Spotter,52,EG,,,,,,,,,,1,SE,BATAVIA,1,SE,BATAVIA,40.99,-92.16,40.99,-92.16,"On Thursday, June 29, a powerful severe wind event moved over the region. This event was known as a derecho given its long duration from north of Kansas City to southern Indiana and its consistent strong intensity. Almost all of the damage in the area surveyed locally was due to straight-line winds, at times easily peaking between 100-120 mph in far western Illinois. Those who experienced the event conveyed how the strongest winds persisted for 10 to 15 minutes, and in some locations, it lasted as long as 20 minutes, which is atypical for derecho events.||There were some swaths of enhanced damage. These were largely due to intense wind surges in the local area. One of these in Clark county, Mo was determined to be a short-lived EF1 tornado.",A trained spotter reported winds around 60 mph.,CSV,jefferson
1831888,180681,1103035,IOWA,19,2023,June,Thunderstorm Wind,C,61,DUBUQUE,DVN,24-06-2023 19:53,CST-6,24-06-2023 19:53,0,0,0,0,0.00K,,State Official,65,EG,,,,,,,,,,1,S,DUBUQUE,1,S,DUBUQUE,42.49,-90.67,42.49,-90.67,"Scattered severe storms tracked across southeast Iowa during the mid-afternoon into early evening of June 24, producing large hail up to golf ball size in Van Buren County and tennis ball size hail near Ottumwa.||More organized clusters of severe storms tracked through Dubuque into far northwest IL during the evening and late night hours of June 24.  Another storm cluster moved through the Quad Cities, producing wind gusts to 70 mph at the Davenport ASOS and damage to trees and power poles.  An EF-0 tornado also tracked east along and north of I-80 near the Davenport Airport, causing sporadic minor tree and structure damage.  This storm impacted the Quad City Airshow grounds, while no visitors were present.",Sheriffs office reported trees and powerlines down throughout Dubuque Iowa.,CSV,dubuque
1831889,180681,1103040,IOWA,19,2023,June,Thunderstorm Wind,C,61,DUBUQUE,DVN,24-06-2023 19:41,CST-6,24-06-2023 19:41,0,0,0,0,0.00K,,Emergency Manager,61,EG,,,,,,,,,,1,S,DURANGO,1,S,DURANGO,42.56,-90.78,42.56,-90.78,"Scattered severe storms tracked across southeast Iowa during the mid-afternoon into early evening of June 24, producing large hail up to golf ball size in Van Buren County and tennis ball size hail near Ottumwa.||More organized clusters of severe storms tracked through Dubuque into far northwest IL during the evening and late night hours of June 24.  Another storm cluster moved through the Quad Cities, producing wind gusts to 70 mph at the Davenport ASOS and damage to trees and power poles.  An EF-0 tornado also tracked east along and north of I-80 near the Davenport Airport, causing sporadic minor tree and structure damage.  This storm impacted the Quad City Airshow grounds, while no visitors were present.",A large tree fell across Highway 3.,CSV,dubuque
1831988,182443,1111591,IOWA,19,2023,June,Thunderstorm Wind,C,167,SIOUX,FSD,24-06-2023 03:52,CST-6,24-06-2023 03:54,0,0,0,0,,,Social Media,61,EG,,,,,,,,,,0,N,ROCK VLY,0,N,ROCK VLY,43.2,-96.3,43.2,-96.3,"Linear storms developed near a frontal boundary, moving across southeast South Dakota and into northwest Iowa and southwest Minnesota early on June 24. Within an environment of shear, a strong low-level jet, and strong DCAPE, some storms produced severe-level winds.",Multiple large tree limbs were broken off by thunderstorm wind gusts.,CSV,sioux
1832174,178947,1089370,IOWA,19,2023,April,Thunderstorm Wind,C,163,SCOTT,DVN,04-04-2023 08:38,CST-6,04-04-2023 08:38,0,0,0,0,0.00K,,Amateur Radio,61,EG,,,,,,,,,,2,SW,CREDIT ISLAND,2,SW,CREDIT ISLAND,41.48,-90.64,41.48,-90.64,"There were two rounds of severe thunderstorms on April 4. Round 1 of activity began during the early morning hours of April 4, 2023, as elevated thunderstorms developed across southeast Iowa. These storms quickly intensified and became severe as they moved into eastern Iowa, and produced very large hail from golf ball to tea cup size (2 inches). The largest hailstones were measured in and around the Davenport metro, where tea cup size hail was measured at the North Park Mall.",An amateur radio operator reported trees down causing an accident on the I-280 bridge. The time of the event estimated from radar.,CSV,scott
