year,state_name,state_fips_code,county_name,county_code,short_desc,domain_desc,Value,yield_bu_acre
2020,IOWA,19,BUENA VISTA,021,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,183.9,183.9
2020,IOWA,19,CHEROKEE,035,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,185.7,185.7
2020,IOWA,19,CLAY,041,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,168.1,168.1
2020,IOWA,19,DICKINSON,059,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,182.2,182.2
2020,IOWA,19,EMMET,063,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,186.1,186.1
2020,IOWA,19,LYON,119,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,197,197.0
2020,IOWA,19,O BRIEN,141,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,199.5,199.5
2020,IOWA,19,OSCEOLA,143,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,185.3,185.3
2020,IOWA,19,PALO ALTO,147,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181.1,181.1
2020,IOWA,19,POCAHONTAS,151,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,186.2,186.2
2020,IOWA,19,SIOUX,167,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,201.8,201.8
2020,IOWA,19,BUTLER,023,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,192.8,192.8
2020,IOWA,19,CERRO GORDO,033,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,182.5,182.5
2020,IOWA,19,FLOYD,067,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,187.4,187.4
2020,IOWA,19,FRANKLIN,069,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180.1,180.1
2020,IOWA,19,HANCOCK,081,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,200,200.0
2020,IOWA,19,HUMBOLDT,091,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,188.4,188.4
2020,IOWA,19,KOSSUTH,109,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,190.7,190.7
2020,IOWA,19,MITCHELL,131,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,203.3,203.3
2020,IOWA,19,WINNEBAGO,189,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,207.1,207.1
2020,IOWA,19,WORTH,195,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,205.7,205.7
2020,IOWA,19,WRIGHT,197,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,186,186.0
2020,IOWA,19,ALLAMAKEE,005,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,196.3,196.3
2020,IOWA,19,BLACK HAWK,013,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,169.8,169.8
2020,IOWA,19,BREMER,017,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,187.6,187.6
2020,IOWA,19,BUCHANAN,019,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,188.3,188.3
2020,IOWA,19,CHICKASAW,037,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,185.7,185.7
2020,IOWA,19,CLAYTON,043,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191.1,191.1
2020,IOWA,19,DELAWARE,055,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,190.4,190.4
2020,IOWA,19,DUBUQUE,061,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,197.1,197.1
2020,IOWA,19,FAYETTE,065,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180.1,180.1
2020,IOWA,19,HOWARD,089,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,188.6,188.6
2020,IOWA,19,WINNESHIEK,191,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,178.2,178.2
2020,IOWA,19,AUDUBON,009,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,170.8,170.8
2020,IOWA,19,CALHOUN,025,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,159.6,159.6
2020,IOWA,19,CARROLL,027,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,150.6,150.6
2020,IOWA,19,CRAWFORD,047,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181.2,181.2
2020,IOWA,19,GREENE,073,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,153.8,153.8
2020,IOWA,19,GUTHRIE,077,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,151.3,151.3
2020,IOWA,19,HARRISON,085,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180.2,180.2
2020,IOWA,19,IDA,093,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,188.2,188.2
2020,IOWA,19,MONONA,133,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,178.4,178.4
2020,IOWA,19,SAC,161,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,161,161.0
2020,IOWA,19,SHELBY,165,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,190.5,190.5
2020,IOWA,19,WOODBURY,193,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,191,191.0
2020,IOWA,19,BOONE,015,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,160.7,160.7
2020,IOWA,19,DALLAS,049,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,139.7,139.7
2020,IOWA,19,GRUNDY,075,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,182.7,182.7
2020,IOWA,19,HAMILTON,079,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,166.2,166.2
2020,IOWA,19,HARDIN,083,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,155.7,155.7
2020,IOWA,19,POLK,153,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,150.2,150.2
2020,IOWA,19,POWESHIEK,157,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,138.2,138.2
2020,IOWA,19,STORY,169,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,148.4,148.4
2020,IOWA,19,TAMA,171,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,132.7,132.7
2020,IOWA,19,WEBSTER,187,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,173.1,173.1
2020,IOWA,19,BENTON,011,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,144.8,144.8
2020,IOWA,19,CEDAR,031,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,153.3,153.3
2020,IOWA,19,CLINTON,045,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,178.4,178.4
2020,IOWA,19,IOWA,095,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,151.1,151.1
2020,IOWA,19,JACKSON,097,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,185.6,185.6
2020,IOWA,19,JOHNSON,103,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,161.8,161.8
2020,IOWA,19,JONES,105,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,171.6,171.6
2020,IOWA,19,LINN,113,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,164.9,164.9
2020,IOWA,19,MUSCATINE,139,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,172.8,172.8
2020,IOWA,19,SCOTT,163,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181.3,181.3
2020,IOWA,19,ADAIR,001,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,168.7,168.7
2020,IOWA,19,ADAMS,003,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,173.3,173.3
2020,IOWA,19,CASS,029,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,177.5,177.5
2020,IOWA,19,FREMONT,071,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,194.8,194.8
2020,IOWA,19,MILLS,129,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,182.2,182.2
2020,IOWA,19,MONTGOMERY,137,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,184.6,184.6
2020,IOWA,19,PAGE,145,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181.6,181.6
2020,IOWA,19,POTTAWATTAMIE,155,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,176.3,176.3
2020,IOWA,19,TAYLOR,173,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,166.2,166.2
2020,IOWA,19,APPANOOSE,007,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,143.6,143.6
2020,IOWA,19,CLARKE,039,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,155.2,155.2
2020,IOWA,19,DECATUR,053,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,159.3,159.3
2020,IOWA,19,LUCAS,117,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,149.2,149.2
2020,IOWA,19,MADISON,121,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,172,172.0
2020,IOWA,19,MONROE,135,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,153.8,153.8
2020,IOWA,19,RINGGOLD,159,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,159.1,159.1
2020,IOWA,19,UNION,175,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,179.7,179.7
2020,IOWA,19,WARREN,181,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,168,168.0
2020,IOWA,19,WAYNE,185,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,168.8,168.8
2020,IOWA,19,DAVIS,051,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,170,170.0
2020,IOWA,19,DES MOINES,057,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,190.2,190.2
2020,IOWA,19,HENRY,087,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,172,172.0
2020,IOWA,19,JEFFERSON,101,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,167.3,167.3
2020,IOWA,19,KEOKUK,107,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,163.5,163.5
2020,IOWA,19,LEE,111,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,174.3,174.3
2020,IOWA,19,LOUISA,115,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,181.6,181.6
2020,IOWA,19,MAHASKA,123,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,180.8,180.8
2020,IOWA,19,VAN BUREN,177,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,153.5,153.5
2020,IOWA,19,WAPELLO,179,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,170.6,170.6
2020,IOWA,19,WASHINGTON,183,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,185.4,185.4
2020,IOWA,19,OTHER COUNTIES,998,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,175.4,175.4
